admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
AMAPA,63621.2421875,71.56494903564453,889,71.5649642944336
RIO GRANDE DO SUL,3997260.5,71.56495666503906,55855,71.5649642944336
PARANA,3492871.0,71.56495666503906,48807,71.5649642944336
MATO GROSSO,3951387.5,71.56495666503906,55214,71.5649642944336
GOIAS,2286428.75,71.56495666503906,31949,71.5649642944336
PARA,1731657.25,71.56495666503906,24197,71.5649642944336
MATO GROSSO DO SUL,1729725.0,71.56495666503906,24170,71.5649642944336
MINAS GERAIS,3483495.75,71.56495666503906,48676,71.5649642944336
SANTA CATARINA,1039695.6875,71.56495666503906,14528,71.5649642944336
MARANHAO,947376.875,71.56495666503906,13238,71.5649642944336
BAHIA,850907.375,71.56495666503906,11890,71.5649642944336
TOCANTINS,615458.625,71.56495666503906,8600,71.5649642944336
RONDONIA,575096.0,71.56495666503906,8036,71.5649642944336
ESPIRITO SANTO,303936.375,71.56495666503906,4247,71.5649642944336
RIO DE JANEIRO,242175.8125,71.56495666503906,3384,71.5649642944336
SAO PAULO,1536213.375,71.56495666503906,21466,71.5649642944336
ACRE,236880.0,71.56495666503906,3310,71.5649642944336
RORAIMA,206965.84375,71.56495666503906,2892,71.5649642944336
PIAUI,107347.4375,71.56495666503906,1500,71.5649642944336
SERGIPE,20825.40234375,71.56495666503906,291,71.5649642944336
ALAGOAS,7442.75537109375,71.56495666503906,104,71.5649642944336
CEARA,16388.375,71.56495666503906,229,71.5649642944336
RIO GRANDE DO NORTE,787.2145385742188,71.56495666503906,11,71.5649642944336
PARAIBA,6512.4111328125,71.56495666503906,91,71.5649642944336
DISTRITO FEDERAL,71.5649642944336,71.5649642944336,1,71.5649642944336
AMAZONAS,141269.234375,71.5649642944336,1974,71.5649642944336
PERNAMBUCO,17032.462890625,71.56497192382812,238,71.5649642944336
