admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
BAHIA,2784703.25,42.04975891113281,66224,47.71928787231445
PARAIBA,529990.9375,43.13428497314453,12287,53.737152099609375
PIAUI,1573844.5,43.77870559692383,35950,48.556190490722656
GOIAS,3113833.5,43.905662536621094,70921,47.308082580566406
MINAS GERAIS,3185084.5,43.91221237182617,72533,49.962772369384766
DISTRITO FEDERAL,9458.90625,46.14100646972656,205,49.212379455566406
TOCANTINS,893355.5,47.222511291503906,18918,55.426536560058594
RIO GRANDE DO NORTE,724367.9375,47.27324676513672,15323,55.68978500366211
CEARA,1301621.375,47.99488830566406,27120,56.19249725341797
SAO PAULO,764538.9375,49.73581314086914,15372,54.02920913696289
PERNAMBUCO,702464.25,50.75608825683594,13840,57.721435546875
MARANHAO,399395.96875,51.51502227783203,7753,57.40214538574219
MATO GROSSO DO SUL,982732.5,52.001930236816406,18898,58.23771667480469
MATO GROSSO,1396758.0,53.17134094238281,26269,60.204246520996094
SERGIPE,28645.904296875,55.40793991088867,517,62.109375
PARANA,46634.09765625,55.849220275878906,835,58.9632682800293
ALAGOAS,35527.3125,56.5721549987793,628,61.92616271972656
PARA,72588.171875,58.728294372558594,1236,63.74521255493164
RORAIMA,7543.2080078125,59.39533996582031,127,63.512699127197266
ESPIRITO SANTO,327.26300048828125,65.45259857177734,5,67.62037658691406
RIO GRANDE DO SUL,10849.1025390625,65.75213623046875,165,66.82837677001953
