admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
RIO GRANDE DO SUL,3113417.5,41.17841339111328,75608,46.68986511230469
RORAIMA,48993.53125,41.414649963378906,1183,48.20915603637695
PARANA,979179.875,42.453060150146484,23065,49.64803695678711
PARAIBA,372530.5,42.56032180786133,8753,51.05965042114258
SANTA CATARINA,192176.65625,42.6490592956543,4506,49.634334564208984
RIO DE JANEIRO,133402.0625,42.839454650878906,3114,50.64215850830078
BAHIA,1691065.0,42.984798431396484,39341,50.728946685791016
RIO GRANDE DO NORTE,592928.4375,43.22896194458008,13716,51.662254333496094
PIAUI,687210.0625,43.286094665527344,15876,50.78924560546875
CEARA,172768.1875,44.12980651855469,3915,53.1760368347168
MINAS GERAIS,627254.9375,44.253910064697266,14174,52.13907241821289
PERNAMBUCO,444765.03125,44.552242279052734,9983,52.34294509887695
TOCANTINS,29872.37109375,44.65227508544922,669,51.53495407104492
MATO GROSSO DO SUL,620634.375,44.66280746459961,13896,52.24291229248047
ESPIRITO SANTO,33595.91015625,44.734901428222656,751,52.636329650878906
GOIAS,220446.828125,45.40614318847656,4855,52.258689880371094
SAO PAULO,501889.5,46.20174026489258,10863,52.398292541503906
ALAGOAS,79602.1875,46.74232864379883,1703,54.0919189453125
DISTRITO FEDERAL,1807.347900390625,47.56178665161133,38,52.81311798095703
MATO GROSSO,6985.45849609375,47.84560775756836,146,53.410064697265625
MARANHAO,6520.0810546875,49.394554138183594,132,54.344905853271484
SERGIPE,9650.755859375,52.1662483215332,185,56.09159469604492
