admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
MATO GROSSO,9917.3984375,0.17961746454238892,55214,0.1813231259584427,52125.8461875
RIO GRANDE DO SUL,9048.900390625,0.16200698912143707,55855,0.16389799118041992,47561.02045312499
MINAS GERAIS,8485.6552734375,0.17432934045791626,48676,0.17686687409877777,44600.6041171875
PARANA,8206.529296875,0.16814246773719788,48807,0.16989032924175262,43133.517984375
GOIAS,5644.384765625,0.17666858434677124,31949,0.1782374083995819,29666.886328125
PARA,4454.7578125,0.18410372734069824,24197,0.18457485735416412,23414.207062499998
MATO GROSSO DO SUL,4175.10888671875,0.17273929715156555,24170,0.17475801706314087,21944.37230859375
SAO PAULO,3670.053466796875,0.17097052931785583,21466,0.17308935523033142,19289.801021484374
MARANHAO,2434.3681640625,0.18389244377613068,13238,0.18436017632484436,12795.0390703125
SANTA CATARINA,2392.14453125,0.16465751826763153,14528,0.16582629084587097,12573.111656249997
BAHIA,2132.092041015625,0.17931808531284332,11890,0.18088343739509583,11206.275767578123
TOCANTINS,1564.6551513671875,0.18193665146827698,8600,0.18347173929214478,8223.827475585938
RONDONIA,1457.7109375,0.18139757215976715,8036,0.18233083188533783,7661.7286875
ESPIRITO SANTO,738.066650390625,0.17378541827201843,4247,0.17494237422943115,3879.2783144531245
ACRE,602.7633056640625,0.1821037232875824,3310,0.18285366892814636,3168.123934570312
RIO DE JANEIRO,579.578369140625,0.1712702065706253,3384,0.1719612032175064,3046.263908203125
RORAIMA,533.6927490234375,0.18454106152057648,2892,0.1846216320991516,2805.0890888671875
AMAZONAS,362.3808898925781,0.18357694149017334,1974,0.1844455897808075,1904.6739572753906
PIAUI,275.236083984375,0.18349072337150574,1500,0.18424610793590546,1446.640857421875
AMAPA,164.08445739746094,0.18457193672657013,889,0.18463295698165894,862.4279080810546
SERGIPE,52.78974914550781,0.1814080774784088,291,0.18174120783805847,277.46292150878907
PERNAMBUCO,43.48481369018555,0.18270930647850037,238,0.18298348784446716,228.55618075561523
CEARA,42.19050216674805,0.184238001704216,229,0.18438562750816345,221.75327938842773
ALAGOAS,18.961013793945312,0.18231743574142456,104,0.18236428499221802,99.65908850097657
PARAIBA,16.683780670166016,0.1833382546901703,91,0.1833919733762741,87.68995120239258
RIO GRANDE DO NORTE,2.0210418701171875,0.1837310791015625,11,0.1839858889579773,10.622596069335936
DISTRITO FEDERAL,0.177806556224823,0.177806556224823,1,0.177806556224823,0.9345512595176697
