admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
MATO GROSSO,30075.9609375,0.17964592576026917,167418,0.18171870708465576,158079.2506875
MINAS GERAIS,23990.05859375,0.17447568476200104,137498,0.17717477679252625,126091.74796875
GOIAS,17677.64453125,0.17710408568382263,99815,0.1791195273399353,92913.69965624998
RIO GRANDE DO SUL,17621.22265625,0.16133400797843933,109222,0.16364695131778717,92617.14628125
MATO GROSSO DO SUL,15053.40234375,0.17303556203842163,86996,0.17515529692173004,79120.68271875
PARA,14972.201171875,0.1838749498128891,81426,0.18455646932125092,78693.889359375
PARANA,11682.3232421875,0.16833075881004333,69401,0.17011453211307526,61402.29096093749
MARANHAO,8912.1455078125,0.18387310206890106,48469,0.18438230454921722,46842.2367890625
BAHIA,8265.5126953125,0.17949385941028595,46049,0.18112832307815552,43443.5347265625
TOCANTINS,7556.44775390625,0.1819646954536438,41527,0.18339933454990387,39716.68939453125
SAO PAULO,7359.1748046875,0.1711316555738449,43003,0.17312264442443848,38679.8227734375
RONDONIA,6852.671875,0.1812972128391266,37798,0.18222439289093018,36017.643375
SANTA CATARINA,3313.28173828125,0.16455335915088654,20135,0.16581222414970398,17414.60881640625
ESPIRITO SANTO,1969.046630859375,0.1740824580192566,11311,0.17534594237804413,10349.309091796875
RIO DE JANEIRO,1798.3406982421875,0.1714501529932022,10489,0.17233377695083618,9452.078709960937
ACRE,1646.742919921875,0.1820410043001175,9046,0.18282711505889893,8655.280787109376
PIAUI,1544.864013671875,0.18314926326274872,8435,0.18415683507919312,8119.805255859375
AMAZONAS,1404.1041259765625,0.1833273470401764,7659,0.184419184923172,7379.971286132813
RORAIMA,1332.7071533203125,0.18448327481746674,7224,0.1846187263727188,7004.708797851563
SERGIPE,490.71966552734375,0.18147917091846466,2704,0.1817803531885147,2579.2225620117188
AMAPA,464.5970764160156,0.1845836639404297,2517,0.1846337914466858,2441.9222336425782
PERNAMBUCO,376.93487548828125,0.182623490691185,2064,0.1829536259174347,1981.1697055664063
CEARA,222.77427673339844,0.18411096930503845,1210,0.18438230454921722,1170.9015985107421
ALAGOAS,210.66461181640625,0.18223582208156586,1156,0.1823558211326599,1107.2531997070312
PARAIBA,95.50656127929688,0.18331393599510193,521,0.1834249198436737,501.9824860839844
RIO GRANDE DO NORTE,31.24082374572754,0.18376955389976501,170,0.1839778572320938,164.20176960754395
DISTRITO FEDERAL,0.5332388281822205,0.17774628102779388,3,0.1777893304824829,2.802703280925751
