admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
MINAS GERAIS,191449.875,2.63948655128479,72533,2.6695303916931152,368962.1991
GOIAS,188603.3125,2.659343719482422,70921,2.6871402263641357,363476.30385
BAHIA,179481.8125,2.7102229595184326,66224,2.7335195541381836,345897.34905
PIAUI,98623.09375,2.743340492248535,35950,2.7582526206970215,190066.42627499998
CEARA,74734.40625,2.7556934356689453,27120,2.7614686489105225,144028.147725
MATO GROSSO,70570.109375,2.6864407062530518,26269,2.7139198780059814,136002.7147875
TOCANTINS,51337.46875,2.713683843612671,18918,2.7262022495269775,98937.56977500001
MATO GROSSO DO SUL,49205.1953125,2.603724956512451,18898,2.621216058731079,94828.25240625
RIO GRANDE DO NORTE,42226.42578125,2.7557544708251953,15323,2.758338451385498,81378.767765625
SAO PAULO,39720.01953125,2.5839200019836426,15372,2.602449417114258,76548.421640625
PERNAMBUCO,37933.0703125,2.7408287525177,13840,2.7447524070739746,73104.61310625
PARAIBA,33786.14453125,2.7497472763061523,12287,2.752342462539673,65112.65774062499
MARANHAO,21324.546875,2.7504897117614746,7753,2.7641172409057617,41096.666737499996
PARA,3388.744873046875,2.7417030334472656,1236,2.7679874897003174,6530.789119335937
PARANA,2133.93701171875,2.5556132793426514,835,2.5600168704986572,4112.523408984375
ALAGOAS,1717.098876953125,2.734233856201172,628,2.7359328269958496,3309.1929556640625
SERGIPE,1406.84423828125,2.7211687564849854,517,2.726487636566162,2711.270216015625
DISTRITO FEDERAL,546.7379150390625,2.6670141220092773,205,2.668125867843628,1053.6733098632812
RIO GRANDE DO SUL,397.28851318359375,2.407809257507324,165,2.4092681407928467,765.6544226074219
RORAIMA,351.0253601074219,2.763979196548462,127,2.765202283859253,676.4960739990235
ESPIRITO SANTO,13.1178560256958,2.6235711574554443,5,2.6290788650512695,25.28073213272095
