admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
BAHIA,63464.8828125,2.709280014038086,23425,2.7316548824310303,122309.52215625
MINAS GERAIS,33740.86328125,2.65279221534729,12719,2.6730618476867676,65025.391715624995
GOIAS,26387.732421875,2.667313575744629,9893,2.692150831222534,50854.43792343751
PIAUI,21156.775390625,2.74300217628479,7713,2.7599079608917236,40773.337532812504
CEARA,13418.4375,2.75532603263855,4870,2.7599475383758545,25860.01275
RIO GRANDE DO NORTE,11368.869140625,2.756089448928833,4125,2.75897216796875,21910.084607812496
TOCANTINS,11113.0947265625,2.7091894149780273,4102,2.7145843505859375,21417.156157031248
PARAIBA,9815.2744140625,2.7501468658447266,3569,2.752289295196533,18915.996850781252
PERNAMBUCO,4497.65087890625,2.7391295433044434,1642,2.745069742202759,8667.872773828125
MATO GROSSO,3491.8037109375,2.679818630218506,1303,2.694575786590576,6729.404111718751
SAO PAULO,2813.35498046875,2.5977423191070557,1083,2.6040821075439453,5421.897718359374
MARANHAO,1880.526123046875,2.7573697566986084,682,2.7640573978424072,3624.1499443359376
MATO GROSSO DO SUL,1385.44580078125,2.614048719406128,530,2.62459397315979,2670.031147265625
SERGIPE,95.1683349609375,2.719095230102539,35,2.7202601432800293,183.40841513671873
DISTRITO FEDERAL,48.007102966308594,2.6670613288879395,18,2.6677796840667725,92.51928883666992
PARA,35.990291595458984,2.768483877182007,13,2.7688305377960205,69.36048996276855
ALAGOAS,19.135286331176758,2.733612298965454,7,2.7343332767486572,36.87752381744385
