admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
MINAS GERAIS,332026.8125,2.6324174404144287,126130,2.6678695678710938,639882.0730500001
BAHIA,298720.34375,2.7105634212493896,110206,2.73382568359375,575693.846475
GOIAS,289395.96875,2.659938335418701,108798,2.687255859375,557723.910975
MATO GROSSO,195983.09375,2.6878294944763184,72915,2.7191240787506104,377698.61827499996
PIAUI,155616.171875,2.743633985519409,56719,2.7582526206970215,299903.4864375
CEARA,142760.09375,2.7572104930877686,51777,2.763875961303711,275127.252675
MATO GROSSO DO SUL,121583.328125,2.5961592197418213,46832,2.6196680068969727,234315.38996250002
TOCANTINS,110818.734375,2.720947027206421,40728,2.743917465209961,213569.8648875
PERNAMBUCO,85243.1875,2.7410266399383545,31099,2.7448794841766357,164280.67095000003
SAO PAULO,83110.6484375,2.575796365737915,32266,2.6003150939941406,160170.84166874998
RIO GRANDE DO NORTE,67933.890625,2.7553799152374268,24655,2.7580363750457764,130922.1940125
MARANHAO,67886.4609375,2.753009557723999,24659,2.764753580093384,130830.78751875
PARANA,63074.9765625,2.5355756282806396,24876,2.554131507873535,121558.09483125001
PARAIBA,58738.9296875,2.7494349479675293,21364,2.752182722091675,113201.66529375
PARA,36499.609375,2.750535726547241,13270,2.7679874897003174,70342.0471875
RIO GRANDE DO SUL,34183.4609375,2.4198966026306152,14126,2.447108745574951,65878.36591875
SERGIPE,15639.59765625,2.72324538230896,5743,2.7296628952026367,30140.632603125003
ALAGOAS,14751.419921875,2.7332630157470703,5397,2.7357842922210693,28428.936473437498
RORAIMA,5308.84912109375,2.7650256156921387,1920,2.7662179470062256,10231.214026171876
RONDONIA,3823.453857421875,2.709747552871704,1411,2.7167394161224365,7368.560274023438
RIO DE JANEIRO,769.003173828125,2.5719170570373535,299,2.57688307762146,1482.0229166015627
DISTRITO FEDERAL,584.0753173828125,2.667010545730591,219,2.668125867843628,1125.6299516601562
ESPIRITO SANTO,528.5384521484375,2.6165270805358887,202,2.6273293495178223,1018.5993049804688
SANTA CATARINA,181.17892456054688,2.481903076171875,73,2.4865081310272217,349.16802341308596
AMAZONAS,52.5762825012207,2.7671728134155273,19,2.767396926879883,101.32501163635254
AMAPA,2.76949143409729,2.76949143409729,1,2.76949143409729,5.337363891792297
