admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
RIO GRANDE DO SUL,14607.8173828125,0.19320465624332428,75608,0.19594812393188477,57584.01612304687
BAHIA,8556.8955078125,0.2175057977437973,39341,0.21885085105895996,33731.28209179688
PARANA,4667.9619140625,0.2023829072713852,23065,0.2043008804321289,18401.105865234375
PIAUI,3483.638427734375,0.21942797303199768,15876,0.21995316445827484,13732.502682128908
RIO GRANDE DO NORTE,3022.990234375,0.22039882838726044,13716,0.22061491012573242,11916.627503906251
MINAS GERAIS,2988.51611328125,0.21084493398666382,14174,0.2134910225868225,11780.730518554688
MATO GROSSO DO SUL,2866.51123046875,0.20628319680690765,13896,0.208855539560318,11299.787270507812
SAO PAULO,2236.2822265625,0.20586229860782623,10863,0.20781362056732178,8815.424537109375
PERNAMBUCO,2187.509033203125,0.21912340819835663,9983,0.21944023668766022,8623.16060888672
PARAIBA,1925.439697265625,0.2199748307466507,8753,0.22015750408172607,7590.083286621094
GOIAS,1033.634033203125,0.21290093660354614,4855,0.21500816941261292,4074.585358886719
SANTA CATARINA,889.5571899414062,0.19741615653038025,4506,0.19878871738910675,3506.6344427490235
CEARA,863.4449462890625,0.2205478847026825,3915,0.2211245894432068,3403.6999782714843
RIO DE JANEIRO,639.8203125,0.20546573400497437,3114,0.20610570907592773,2522.171671875
ALAGOAS,372.45404052734375,0.21870465576648712,1703,0.218868687748909,1468.213827758789
RORAIMA,261.7081604003906,0.22122414410114288,1183,0.22125475108623505,1031.65356829834
ESPIRITO SANTO,156.4857177734375,0.20836979150772095,751,0.2098695933818817,616.8666994628908
TOCANTINS,145.27748107910156,0.21715617179870605,669,0.21777278184890747,572.6838304138183
SERGIPE,40.38188171386719,0.21828043460845947,185,0.21843726933002472,159.1853777160645
MATO GROSSO,30.899307250976562,0.21163909137248993,146,0.21231691539287567,121.80506918334962
MARANHAO,29.01238250732422,0.2197907716035843,132,0.22130945324897766,114.36681184387207
DISTRITO FEDERAL,8.103837966918945,0.21325889229774475,38,0.2133503556251526,31.94532926559448
