admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
RIO GRANDE DO SUL,7513.11328125,0.19306471943855286,38915,0.19585847854614258,29616.6925546875
BAHIA,2985.0439453125,0.2177751511335373,13707,0.21884489059448242,11767.043232421875
PARANA,1679.778564453125,0.20235857367515564,8301,0.20421183109283447,6621.687101074219
RIO GRANDE DO NORTE,1471.75146484375,0.22042106091976166,6677,0.2206219583749771,5801.644274414063
PIAUI,1153.479248046875,0.21937604248523712,5258,0.21990691125392914,4547.015195800781
MATO GROSSO DO SUL,897.3995971679688,0.20596732199192047,4357,0.20793284475803375,3537.5492120361328
PARAIBA,757.6822509765625,0.22000065445899963,3444,0.22015321254730225,2986.7834333496094
MINAS GERAIS,739.8330078125,0.2116227149963379,3496,0.21379485726356506,2916.421716796875
PERNAMBUCO,638.04296875,0.21903294324874878,2913,0.21932269632816315,2515.1653828125
SAO PAULO,520.6952514648438,0.20580840110778809,2530,0.20761515200138092,2052.580681274414
RIO DE JANEIRO,342.0501708984375,0.20543554425239563,1665,0.20607759058475494,1348.3617736816407
SANTA CATARINA,228.18487548828125,0.19756266474723816,1155,0.1988496631383896,899.5047791748046
CEARA,189.17037963867188,0.22047829627990723,858,0.2211027294397354,745.7096365356446
GOIAS,149.65957641601562,0.21319027245044708,702,0.21508176624774933,589.9580502319336
RORAIMA,116.80473327636719,0.22122108936309814,528,0.22124256193637848,460.44425857543945
ESPIRITO SANTO,29.169822692871094,0.2083558738231659,140,0.20927490293979645,114.98744105529786
ALAGOAS,25.60462760925293,0.21884296834468842,117,0.21889828145503998,100.93344203567504
TOCANTINS,21.056238174438477,0.21707461774349213,97,0.21712425351142883,83.0036908836365
DISTRITO FEDERAL,1.279410481452942,0.21323508024215698,6,0.21329043805599213,5.043436117887498
MARANHAO,0.44265297055244446,0.22132648527622223,2,0.22132648527622223,1.744938009917736
