admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
RIO GRANDE DO SUL,20473.8046875,0.19324025511741638,105950,0.1960197389125824,80707.73807812501
BAHIA,17175.35546875,0.21721434593200684,79071,0.21880900859832764,67705.2512578125
MINAS GERAIS,7512.75341796875,0.21044716238975525,35699,0.213398739695549,29615.27397363281
PARANA,7430.79638671875,0.20231415331363678,36729,0.20428605377674103,29292.19935644531
PIAUI,6178.86328125,0.21945883333683014,28155,0.21998515725135803,24357.0790546875
MATO GROSSO DO SUL,6023.1689453125,0.20656295120716095,29159,0.20923592150211334,23743.331982421874
SAO PAULO,4983.162109375,0.20577973127365112,24216,0.2078268975019455,19643.62503515625
PERNAMBUCO,4577.78662109375,0.21919016540050507,20885,0.21951857209205627,18045.63486035156
RIO GRANDE DO NORTE,4496.47265625,0.2204045206308365,20401,0.22062546014785767,17725.0952109375
PARAIBA,3502.369140625,0.21992899477481842,15925,0.22014892101287842,13806.33915234375
GOIAS,3003.79736328125,0.21264316141605377,14126,0.2147473394870758,11840.969206054688
CEARA,2623.88232421875,0.2206055372953415,11894,0.22115984559059143,10343.344122070312
SANTA CATARINA,1536.9443359375,0.1973477602005005,7788,0.19877177476882935,6058.634572265626
ALAGOAS,1130.724609375,0.21866652369499207,5171,0.21884489059448242,4457.31641015625
RIO DE JANEIRO,1007.453125,0.20556072890758514,4901,0.2065383344888687,3971.38021875
SERGIPE,684.5975341796875,0.2181636542081833,3138,0.21844366192817688,2698.683479736328
RORAIMA,562.77587890625,0.22121693193912506,2544,0.22126473486423492,2218.4625146484377
ESPIRITO SANTO,519.319580078125,0.20872972905635834,2488,0.21016940474510193,2047.1577846679688
TOCANTINS,385.1844177246094,0.21712763607501984,1774,0.21840648353099823,1518.3969746704104
MATO GROSSO,246.3323211669922,0.21290606260299683,1157,0.2145426720380783,971.0420100402832
MARANHAO,237.56903076171875,0.21976783871650696,1081,0.22126275300979614,936.4971192626953
DISTRITO FEDERAL,11.945131301879883,0.21330592036247253,56,0.21340902149677277,47.0877075920105
AMAPA,1.7724881172180176,0.2215610146522522,8,0.22156161069869995,6.987148158073426
RONDONIA,1.0795938968658447,0.21591877937316895,5,0.21601133048534393,4.25575914144516
