criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
biomass_resource,-30.0,0.2841,0.1989,0.8837,46489.01,False
biomass_resource,-20.0,0.2841,0.2273,0.9208,36197.29,False
biomass_resource,-10.0,0.2841,0.2557,0.9661,21031.56,True
biomass_resource,10.0,0.2841,0.3125,0.9686,19777.16,True
biomass_resource,20.0,0.2841,0.3409,0.9234,35675.84,False
biomass_resource,30.0,0.2841,0.3693,0.8671,51150.31,False
lc_biomass,-30.0,0.2156,0.1509,0.9128,36269.85,False
lc_biomass,-20.0,0.2156,0.1724,0.9576,22368.47,True
lc_biomass,-10.0,0.2156,0.194,0.9851,10936.62,True
lc_biomass,10.0,0.2156,0.2371,0.9838,11026.06,True
lc_biomass,20.0,0.2156,0.2587,0.9538,20767.95,True
lc_biomass,30.0,0.2156,0.2802,0.9232,27035.98,False
road_suitability,-30.0,0.1563,0.1094,0.9484,28888.67,False
road_suitability,-20.0,0.1563,0.1251,0.9689,20354.23,True
road_suitability,-10.0,0.1563,0.1407,0.9874,10568.5,True
road_suitability,10.0,0.1563,0.172,0.9881,10229.93,True
road_suitability,20.0,0.1563,0.1876,0.9727,19075.96,True
road_suitability,30.0,0.1563,0.2033,0.9569,26507.85,True
river_biomass,-30.0,0.1121,0.0785,0.9996,1541.38,True
river_biomass,-20.0,0.1121,0.0897,0.9998,1063.68,True
river_biomass,-10.0,0.1121,0.1009,1.0,545.61,True
river_biomass,10.0,0.1121,0.1233,0.9999,554.56,True
river_biomass,20.0,0.1121,0.1345,0.9998,1099.05,True
river_biomass,30.0,0.1121,0.1457,0.9996,1624.83,True
grid_suitability,-30.0,0.0803,0.0562,0.9895,11215.11,True
grid_suitability,-20.0,0.0803,0.0643,0.9939,7739.26,True
grid_suitability,-10.0,0.0803,0.0723,0.9977,3943.46,True
grid_suitability,10.0,0.0803,0.0884,0.9976,4026.84,True
grid_suitability,20.0,0.0803,0.0964,0.9936,7987.84,True
grid_suitability,30.0,0.0803,0.1045,0.9884,11875.51,True
pop_suitability,-30.0,0.0576,0.0403,0.9999,315.63,True
pop_suitability,-20.0,0.0576,0.0461,1.0,224.05,True
pop_suitability,-10.0,0.0576,0.0518,1.0,119.17,True
pop_suitability,10.0,0.0576,0.0634,1.0,133.72,True
pop_suitability,20.0,0.0576,0.0691,0.9999,280.72,True
pop_suitability,30.0,0.0576,0.0749,0.9999,442.97,True
proximity_plants,-30.0,0.0413,0.0289,0.9999,362.38,True
proximity_plants,-20.0,0.0413,0.033,1.0,257.08,True
proximity_plants,-10.0,0.0413,0.0372,1.0,136.52,True
proximity_plants,10.0,0.0413,0.0454,1.0,153.01,True
proximity_plants,20.0,0.0413,0.0495,0.9999,322.16,True
proximity_plants,30.0,0.0413,0.0537,0.9999,508.24,True
terrain_score,-30.0,0.0299,0.021,0.9994,1976.94,True
terrain_score,-20.0,0.0299,0.024,0.9997,1289.07,True
terrain_score,-10.0,0.0299,0.027,0.9999,623.65,True
terrain_score,10.0,0.0299,0.0329,1.0,576.33,True
terrain_score,20.0,0.0299,0.0359,0.9998,1109.5,True
terrain_score,30.0,0.0299,0.0389,0.9996,1609.45,True
seismic_suitability,-30.0,0.0227,0.0159,0.9999,651.83,True
seismic_suitability,-20.0,0.0227,0.0182,0.9999,449.95,True
seismic_suitability,-10.0,0.0227,0.0205,1.0,231.62,True
seismic_suitability,10.0,0.0227,0.025,1.0,242.03,True
seismic_suitability,20.0,0.0227,0.0273,0.9999,491.17,True
seismic_suitability,30.0,0.0227,0.0295,0.9999,743.46,True
