threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,2766357.5,414.954,2180.996,2334145,
0.35,2512013.8,376.802,1980.472,2124369,-0.592
0.4,2341635.2,351.245,1846.145,1983270,-0.539
0.45,2196205.0,329.431,1731.488,1862464,-0.6
0.5,2048948.9,307.342,1615.391,1739689,-0.791
0.55,1871974.8,280.796,1475.865,1591607,-1.277
0.6,1614245.6,242.137,1272.671,1375129,-2.376
0.65,1232804.4,184.921,971.943,1053265,-4.221
0.7,813616.8,122.043,641.455,698165,-6.763
0.75,446772.5,67.016,352.235,385787,-10.486
0.8,188979.3,28.347,148.991,164528,
