parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,0.5,0.35,46.911,246.565,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,0.5,0.4,53.613,281.788,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,0.5,0.45,60.314,317.012,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,0.5,0.55,73.717,387.459,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,0.5,0.6,80.419,422.682,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,0.5,0.65,87.121,457.906,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.3,0.21,46.911,246.565,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.3,0.24,53.613,281.788,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.3,0.27,60.314,317.012,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.3,0.33,73.717,387.459,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.3,0.36,80.419,422.682,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.3,0.39,87.121,457.906,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.6,0.42,67.016,246.565,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.6,0.48,67.016,281.788,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.6,0.54,67.016,317.012,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.6,0.66,67.016,387.459,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.6,0.72,67.016,422.682,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.6,0.78,67.016,457.906,0.0,30.0,0.0,1.0
