criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
solar_resource,-30.0,0.3068,0.2148,0.9672,28997.47,True
solar_resource,-20.0,0.3068,0.2454,0.9839,19757.54,True
solar_resource,-10.0,0.3068,0.2761,0.9956,10079.58,True
solar_resource,10.0,0.3068,0.3375,0.9961,9577.02,True
solar_resource,20.0,0.3068,0.3682,0.9864,18194.14,True
solar_resource,30.0,0.3068,0.3988,0.9734,25817.17,True
grid_suitability,-30.0,0.2249,0.1574,0.9721,24447.98,True
grid_suitability,-20.0,0.2249,0.1799,0.9874,15979.17,True
grid_suitability,-10.0,0.2249,0.2024,0.9968,7765.33,True
grid_suitability,10.0,0.2249,0.2474,0.9972,6931.46,True
grid_suitability,20.0,0.2249,0.2699,0.991,12528.17,True
grid_suitability,30.0,0.2249,0.2924,0.9843,16838.87,True
terrain_score,-30.0,0.1603,0.1122,0.9976,6925.92,True
terrain_score,-20.0,0.1603,0.1282,0.9988,4969.91,True
terrain_score,-10.0,0.1603,0.1443,0.9997,2659.76,True
terrain_score,10.0,0.1603,0.1763,0.9996,2998.98,True
terrain_score,20.0,0.1603,0.1924,0.9981,6329.62,True
terrain_score,30.0,0.1603,0.2084,0.9954,9983.63,True
road_suitability,-30.0,0.1102,0.0772,0.999,4357.85,True
road_suitability,-20.0,0.1102,0.0882,0.9995,3060.43,True
road_suitability,-10.0,0.1102,0.0992,0.9999,1602.34,True
road_suitability,10.0,0.1102,0.1213,0.9998,1725.83,True
road_suitability,20.0,0.1102,0.1323,0.9993,3549.51,True
road_suitability,30.0,0.1102,0.1433,0.9984,5441.42,True
river_solar,-30.0,0.0779,0.0546,0.9996,3418.7,True
river_solar,-20.0,0.0779,0.0624,0.9998,2418.25,True
river_solar,-10.0,0.0779,0.0702,0.9999,1277.2,True
river_solar,10.0,0.0779,0.0857,0.9999,1406.4,True
river_solar,20.0,0.0779,0.0935,0.9997,2933.34,True
river_solar,30.0,0.0779,0.1013,0.9993,4570.93,True
seismic_suitability,-30.0,0.0536,0.0375,1.0,334.69,True
seismic_suitability,-20.0,0.0536,0.0429,1.0,237.46,True
seismic_suitability,-10.0,0.0536,0.0482,1.0,126.05,True
seismic_suitability,10.0,0.0536,0.059,1.0,140.6,True
seismic_suitability,20.0,0.0536,0.0643,1.0,295.46,True
seismic_suitability,30.0,0.0536,0.0697,1.0,464.94,True
pop_suitability,-30.0,0.0382,0.0267,1.0,56.8,True
pop_suitability,-20.0,0.0382,0.0306,1.0,40.37,True
pop_suitability,-10.0,0.0382,0.0344,1.0,21.56,True
pop_suitability,10.0,0.0382,0.042,1.0,24.0,True
pop_suitability,20.0,0.0382,0.0459,1.0,50.18,True
pop_suitability,30.0,0.0382,0.0497,1.0,78.89,True
proximity_plants,-30.0,0.028,0.0196,1.0,80.34,True
proximity_plants,-20.0,0.028,0.0224,1.0,57.03,True
proximity_plants,-10.0,0.028,0.0252,1.0,30.37,True
proximity_plants,10.0,0.028,0.0308,1.0,33.78,True
proximity_plants,20.0,0.028,0.0336,1.0,70.69,True
proximity_plants,30.0,0.028,0.0364,1.0,111.14,True
