threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,2865241.0,6446.792,12424.258,2414751,
0.35,2770793.5,6234.285,12014.715,2335650,-0.313
0.4,2617132.2,5888.548,11348.409,2206297,-0.558
0.45,2405820.8,5413.097,10432.12,2026998,-1.026
0.5,2068498.2,4654.121,8969.422,1741580,-1.908
0.55,1616415.8,3636.935,7009.102,1360499,-2.818
0.6,1240293.5,2790.66,5378.161,1043741,-3.121
0.65,971207.6,2185.217,4211.351,815704,-3.489
0.7,718994.5,1617.738,3117.704,602870,-4.744
0.75,483977.9,1088.95,2098.625,405126,-7.137
0.8,258461.5,581.538,1120.741,215899,
