parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,45.0,31.5,762.265,1469.037,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,45.0,36.0,871.16,1678.9,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,45.0,40.5,980.055,1888.762,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,45.0,49.5,1197.845,2308.487,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,45.0,54.0,1306.74,2518.35,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,45.0,58.5,1415.635,2728.212,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.05,0.035,762.265,1469.037,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.05,0.04,871.16,1678.9,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.05,0.045,980.055,1888.762,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.05,0.055,1197.845,2308.487,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.05,0.06,1306.74,2518.35,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.05,0.065,1415.635,2728.212,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.22,0.154,1088.95,1469.037,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.22,0.176,1088.95,1678.9,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.22,0.198,1088.95,1888.762,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.22,0.242,1088.95,2308.487,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.22,0.264,1088.95,2518.35,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.22,0.286,1088.95,2728.212,0.0,30.0,0.0,1.0
