criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
wind_resource,-30.0,0.3539,0.2477,0.9751,23743.89,True
wind_resource,-20.0,0.3539,0.2831,0.9897,15145.91,True
wind_resource,-10.0,0.3539,0.3185,0.9976,7186.67,True
wind_resource,10.0,0.3539,0.3893,0.9982,6348.76,True
wind_resource,20.0,0.3539,0.4247,0.9939,11901.34,True
wind_resource,30.0,0.3539,0.46,0.9883,16771.93,True
grid_suitability,-30.0,0.2379,0.1665,0.9908,13324.79,True
grid_suitability,-20.0,0.2379,0.1903,0.9957,9030.98,True
grid_suitability,-10.0,0.2379,0.2141,0.9989,4564.27,True
grid_suitability,10.0,0.2379,0.2616,0.9988,4570.0,True
grid_suitability,20.0,0.2379,0.2854,0.9955,9026.02,True
grid_suitability,30.0,0.2379,0.3092,0.9902,13284.46,True
terrain_score,-30.0,0.1568,0.1098,0.9956,7120.97,True
terrain_score,-20.0,0.1568,0.1255,0.9979,4855.46,True
terrain_score,-10.0,0.1568,0.1411,0.9994,2481.49,True
terrain_score,10.0,0.1568,0.1725,0.9994,2569.89,True
terrain_score,20.0,0.1568,0.1882,0.9978,5215.94,True
terrain_score,30.0,0.1568,0.2039,0.9954,7939.08,True
road_suitability,-30.0,0.1006,0.0704,0.9986,3635.2,True
road_suitability,-20.0,0.1006,0.0804,0.9993,2465.52,True
road_suitability,-10.0,0.1006,0.0905,0.9998,1242.42,True
road_suitability,10.0,0.1006,0.1106,0.9998,1233.44,True
road_suitability,20.0,0.1006,0.1207,0.9994,2436.96,True
road_suitability,30.0,0.1006,0.1307,0.9987,3601.97,True
pop_suitability,-30.0,0.0643,0.045,1.0,210.24,True
pop_suitability,-20.0,0.0643,0.0514,1.0,149.53,True
pop_suitability,-10.0,0.0643,0.0578,1.0,79.63,True
pop_suitability,10.0,0.0643,0.0707,1.0,89.32,True
pop_suitability,20.0,0.0643,0.0771,1.0,188.25,True
pop_suitability,30.0,0.0643,0.0835,1.0,297.29,True
proximity_plants,-30.0,0.0412,0.0288,1.0,141.01,True
proximity_plants,-20.0,0.0412,0.033,1.0,100.14,True
proximity_plants,-10.0,0.0412,0.0371,1.0,53.26,True
proximity_plants,10.0,0.0412,0.0453,1.0,59.5,True
proximity_plants,20.0,0.0412,0.0494,1.0,125.12,True
proximity_plants,30.0,0.0412,0.0536,1.0,197.21,True
seismic_suitability,-30.0,0.0272,0.019,1.0,136.82,True
seismic_suitability,-20.0,0.0272,0.0217,1.0,96.96,True
seismic_suitability,-10.0,0.0272,0.0244,1.0,51.45,True
seismic_suitability,10.0,0.0272,0.0299,1.0,57.29,True
seismic_suitability,20.0,0.0272,0.0326,1.0,120.21,True
seismic_suitability,30.0,0.0272,0.0353,1.0,189.12,True
river_wind,-30.0,0.0183,0.0128,1.0,259.48,True
river_wind,-20.0,0.0183,0.0146,1.0,183.53,True
river_wind,-10.0,0.0183,0.0164,1.0,97.06,True
river_wind,10.0,0.0183,0.0201,1.0,107.67,True
river_wind,20.0,0.0183,0.0219,1.0,226.07,True
river_wind,30.0,0.0183,0.0237,1.0,355.25,True
