threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,2534288.0,456.172,1798.229,2141414,
0.35,2259997.5,406.8,1603.604,1912885,-0.89
0.4,1959334.5,352.68,1390.265,1661799,-1.352
0.45,1597718.8,287.589,1133.677,1359071,-2.011
0.5,1245214.2,224.139,883.554,1063171,-2.53
0.55,967760.4,174.197,686.684,829651,-2.81
0.6,750715.5,135.129,532.678,646352,-3.547
0.65,523932.8,94.308,371.762,452321,-4.475
0.7,390014.9,70.203,276.739,337995,-4.317
0.75,283413.0,51.014,201.099,246472,-5.197
0.8,193618.1,34.851,137.384,168969,
