parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,6.0,4.2,35.71,140.769,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,6.0,4.8,40.811,160.879,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,6.0,5.4,45.913,180.989,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,6.0,6.6,56.116,221.208,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,6.0,7.2,61.217,241.318,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,6.0,7.8,66.319,261.428,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.03,0.021,35.71,140.769,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.03,0.024,40.811,160.879,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.03,0.027,45.913,180.989,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.03,0.033,56.116,221.208,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.03,0.036,61.217,241.318,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.03,0.039,66.319,261.428,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.45,0.315,51.014,140.769,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.45,0.36,51.014,160.879,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.45,0.405,51.014,180.989,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.45,0.495,51.014,221.208,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.45,0.54,51.014,241.318,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.45,0.585,51.014,261.428,0.0,30.0,0.0,1.0
