admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
XIZANG,1511036.375,24.534988403320312,61587,26.09255599975586
QINGHAI,1939050.25,27.22620391845703,71220,29.78225326538086
NEI MONGOL,9935843.0,29.88124656677246,332511,32.3540153503418
XINJIANG UYGUR,1185702.25,30.603506088256836,38744,33.00542068481445
HEBEI,325956.6875,30.81167221069336,10579,31.799013137817383
GANSU,1548017.75,30.895475387573242,50105,33.89668273925781
SICHUAN,35529.8984375,31.16657829284668,1140,33.0395393371582
JILIN,822277.25,33.52812576293945,24525,36.32683181762695
HEILONGJIANG,946786.3125,33.788455963134766,28021,36.34569549560547
SHANXI,154818.71875,33.832763671875,4576,35.25365447998047
LIAONING,52688.375,34.45936965942383,1529,37.38555908203125
NINGXIA HUI,321811.75,34.56253433227539,9311,35.712947845458984
SHAANXI,73539.3046875,34.98539733886719,2102,36.907928466796875
YUNNAN,73.36944580078125,36.684722900390625,2,36.824867248535156
