admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
BEIJING,10046.654296875,29.990013122558594,335,33.41083908081055
SICHUAN,73856.9375,30.24444580078125,2442,33.407264709472656
XIZANG,350901.75,30.810585021972656,11389,34.937740325927734
YUNNAN,32538.390625,31.377426147460938,1037,35.864288330078125
XINJIANG UYGUR,3198017.0,31.468183517456055,101627,37.018104553222656
QINGHAI,246045.296875,31.62535858154297,7780,36.55409622192383
HEBEI,480681.375,31.947452545166016,15046,37.7769775390625
SHANXI,220057.515625,31.985103607177734,6880,37.192630767822266
HENAN,1537.4345703125,32.02988815307617,48,36.21520233154297
FUJIAN,26175.73828125,32.038848876953125,817,38.59431838989258
GANSU,1087040.75,32.04530334472656,33922,37.299232482910156
HUBEI,96.81033325195312,32.270111083984375,3,34.22999572753906
GUIZHOU,1530.5859375,32.56565856933594,47,36.50819778442383
NEI MONGOL,8959390.0,32.62539291381836,274614,38.502811431884766
GUANGDONG,440.38250732421875,33.87557601928711,13,36.560550689697266
NINGXIA HUI,173437.65625,33.98739242553711,5103,38.76917266845703
ZHEJIANG,68.34933471679688,34.17466735839844,2,37.22443771362305
GUANGXI,4366.203125,34.37955093383789,127,39.39602279663086
LIAONING,168081.453125,34.4006233215332,4886,39.27272415161133
HUNAN,2306.66552734375,34.94947814941406,66,38.612548828125
SHAANXI,37234.69921875,35.699615478515625,1043,38.805503845214844
SHANDONG,20039.17578125,36.041683197021484,556,40.037696838378906
HEILONGJIANG,47886.734375,39.60854721069336,1209,42.001373291015625
JILIN,377493.0,39.832542419433594,9477,41.688175201416016
