admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
HEILONGJIANG,26463.177734375,0.12622249126434326,209655,0.13047020137310028,150681.33401953126
NEI MONGOL,19608.908203125,0.13078883290290833,149928,0.13978593051433563,111653.12330859376
YUNNAN,12459.8701171875,0.16765615344047546,74318,0.17006485164165497,70946.50044726563
HENAN,11917.416015625,0.1540374606847763,77367,0.15645179152488708,67857.76679296874
JILIN,11877.2265625,0.1332692950963974,89122,0.13632500171661377,67628.928046875
HEBEI,10502.890625,0.14352917671203613,73176,0.1478770524263382,59803.45921875
SHANDONG,10129.57421875,0.1493949294090271,67804,0.15183125436306,57677.79560156251
LIAONING,9458.720703125,0.13899050652980804,68053,0.14180386066436768,53857.95568359375
SICHUAN,9415.08203125,0.1607300192117691,58577,0.16426454484462738,53609.477085937506
ANHUI,8097.5595703125,0.1562933772802353,51810,0.15898241102695465,46107.504193359375
HUBEI,6746.24267578125,0.15897077322006226,42437,0.16057048738002777,38413.10579589844
GUIZHOU,6567.6396484375,0.16529017686843872,39734,0.16705724596977234,37396.140158203125
XINJIANG UYGUR,6220.75390625,0.13536031544208527,45957,0.14325469732284546,35420.9727421875
JIANGSU,5670.21875,0.15466201305389404,36662,0.15677419304847717,32286.2255625
GUANGXI,5452.65771484375,0.16938979923725128,32190,0.17113886773586273,31047.433028320313
SHANXI,5448.271484375,0.14733420312404633,36979,0.15126320719718933,31022.45783203125
HUNAN,5182.8291015625,0.16396169364452362,31610,0.1666330099105835,29511.02890429688
GANSU,5097.35546875,0.15063998103141785,33838,0.15393468737602234,29024.342039062503
SHAANXI,4549.06005859375,0.1521475613117218,29899,0.1549709439277649,25902.34797363281
JIANGXI,3970.5595703125,0.1639101505279541,24224,0.16653653979301453,22608.366193359376
GUANGDONG,2713.6142578125,0.17002595961093903,15960,0.172470822930336,15451.319583984377
CHONGQING,1792.7412109375,0.16065429151058197,11159,0.16214126348495483,10207.868455078125
FUJIAN,1381.1817626953125,0.16598747670650482,8321,0.16777127981185913,7864.44895678711
ZHEJIANG,1140.9046630859375,0.1616012305021286,7060,0.16367655992507935,6496.311151611329
NINGXIA HUI,926.4576416015625,0.14844699203968048,6241,0.15065360069274902,5275.249811279297
XIZANG,571.56884765625,0.1605079621076584,3561,0.16241593658924103,3254.513018554688
TIANJIN,479.605712890625,0.14346566796302795,3343,0.14474305510520935,2730.874929199219
QINGHAI,456.60455322265625,0.1488766074180603,3067,0.14998282492160797,2599.906326049805
BEIJING,416.9338073730469,0.1418142169713974,2940,0.14292968809604645,2374.021099182129
SHANGHAI,37.82701110839844,0.1589370220899582,238,0.15914985537528992,215.38700125122074
