admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
HEILONGJIANG,10637.20703125,0.1266530156135559,83987,0.1306752860546112,60568.2568359375
JILIN,5976.44189453125,0.13359655439853668,44735,0.1364985555410385,34029.86014746094
HENAN,4895.5771484375,0.15446384251117706,31694,0.15655378997325897,27875.416283203125
YUNNAN,4480.236328125,0.16763587296009064,26726,0.1699652522802353,25510.465652343755
LIAONING,4152.431640625,0.13876593112945557,29924,0.14163899421691895,23643.94576171875
NEI MONGOL,3972.12451171875,0.1300417184829712,30545,0.14016349613666534,22617.27696972656
SICHUAN,3576.33056640625,0.1606328785419464,22264,0.16400094330310822,20363.626245117186
ANHUI,3537.550048828125,0.15630744397640228,22632,0.15909627079963684,20142.809978027344
HUBEI,3347.5126953125,0.15895876288414001,21059,0.16057048738002777,19060.737287109376
GUANGXI,3264.98828125,0.1694161593914032,19272,0.1711747795343399,18590.8432734375
SHANDONG,2957.897705078125,0.14927569031715393,19815,0.15184950828552246,16842.269532714843
HUNAN,2522.883544921875,0.16383424401283264,15399,0.16648131608963013,14365.298904785157
GUIZHOU,2505.53515625,0.1652182787656784,15165,0.16705724596977234,14266.5171796875
HEBEI,2357.76220703125,0.1439942717552185,16374,0.1479347050189972,13425.098006835939
JIANGSU,2113.192626953125,0.15450702607631683,13677,0.1563325822353363,12032.518817871094
JIANGXI,1964.15478515625,0.16385707259178162,11987,0.16650894284248352,11183.897346679687
GUANGDONG,1528.447265625,0.17005421221256256,8988,0.17262975871562958,8702.97873046875
XINJIANG UYGUR,1479.509765625,0.13501641154289246,10958,0.14087282121181488,8424.32860546875
SHAANXI,1364.0479736328125,0.15297162532806396,8917,0.15543964505195618,7766.889161865234
CHONGQING,1113.4976806640625,0.16063152253627777,6932,0.16218715906143188,6340.255793701172
FUJIAN,855.2510986328125,0.1659070998430252,5155,0.16774459183216095,4869.799755615234
SHANXI,815.4373779296875,0.14785809814929962,5515,0.15157528221607208,4643.100429931641
ZHEJIANG,551.5782470703125,0.16189558804035187,3407,0.16373571753501892,3140.686538818359
GANSU,549.0096435546875,0.14992071688175201,3662,0.1542525738477707,3126.060910400391
TIANJIN,119.87019348144531,0.1433853954076767,836,0.1447231024503708,682.5408816833497
BEIJING,100.4751205444336,0.14171385765075684,709,0.14272598922252655,572.1053363800049
NINGXIA HUI,89.16968536376953,0.1476319283246994,604,0.15052364766597748,507.7321884613038
XIZANG,55.02111053466797,0.160880446434021,342,0.16175712645053864,313.29020338439943
QINGHAI,35.55887222290039,0.14816196262836456,240,0.1495436131954193,202.4722184371948
SHANGHAI,2.2256832122802734,0.15897737443447113,14,0.15920501947402954,12.673040210723878
