admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
NEI MONGOL,54761.24609375,0.13221031427383423,414198,0.14041441679000854,311810.5352578125
HEILONGJIANG,29561.546875,0.126191183924675,234260,0.13040176033973694,168323.44790625
SICHUAN,17677.40234375,0.15987810492515564,110568,0.16382430493831635,100655.1289453125
XINJIANG UYGUR,17119.44921875,0.13407880067825317,127682,0.14141184091567993,97478.1438515625
HEBEI,16533.509765625,0.14336076378822327,115328,0.1478770524263382,94141.80460546874
YUNNAN,15736.17578125,0.16754157841205597,93924,0.1699901819229126,89601.7848984375
GANSU,15027.8125,0.15034277737140656,99957,0.15345498919487,85568.364375
HENAN,14517.623046875,0.15385356545448303,94360,0.15640072524547577,82663.34562890625
SHANDONG,13682.26953125,0.1494317501783371,91562,0.15181300044059753,77906.8427109375
JILIN,13219.908203125,0.13314977288246155,99286,0.13625985383987427,75274.15730859376
SHANXI,13208.2861328125,0.14671309292316437,90028,0.15070924162864685,75207.98124023438
LIAONING,11345.056640625,0.1391143947839737,81552,0.1419067531824112,64598.75251171875
ANHUI,9515.466796875,0.15634752810001373,60861,0.15898241102695465,54181.06794140625
SHAANXI,8982.3427734375,0.15041768550872803,59716,0.153668612241745,51145.45975195313
GUIZHOU,7914.10009765625,0.16532137989997864,47871,0.16705724596977234,45062.885956054684
HUBEI,7887.28076171875,0.15900172293186188,49605,0.16057048738002777,44910.17665722656
JIANGSU,7477.240234375,0.15485316514968872,48286,0.15721257030963898,42575.40589453126
QINGHAI,7473.18359375,0.1506781429052353,49597,0.1548663079738617,42552.3073828125
XIZANG,6628.80224609375,0.159514918923378,41556,0.16188038885593414,37744.399989257814
HUNAN,6268.482421875,0.16400623321533203,38221,0.1667017638683319,35692.73891015625
GUANGXI,5988.123046875,0.16939528286457062,35350,0.17113886773586273,34096.37262890625
JIANGXI,4822.7685546875,0.16390594840049744,29424,0.16653653979301453,27460.844150390625
GUANGDONG,3337.54443359375,0.1700572967529297,19626,0.17241381108760834,19003.978004882814
NINGXIA HUI,2618.46875,0.14859932661056519,17621,0.15050506591796875,14909.5610625
CHONGQING,1917.810546875,0.1606610119342804,11937,0.16214126348495483,10920.01325390625
ZHEJIANG,1663.5086669921875,0.16136470437049866,10309,0.16352832317352295,9472.018349853517
FUJIAN,1538.421875,0.1660824716091156,9263,0.16782459616661072,8759.77415625
TIANJIN,719.305419921875,0.14348801970481873,5013,0.1447231024503708,4095.725061035156
BEIJING,663.6680908203125,0.14190037548542023,4677,0.14295004308223724,3778.9261091308595
SHANGHAI,118.67562866210938,0.1588696539402008,747,0.15911900997161865,675.7390296020508
