admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
NEI MONGOL,757724.625,2.2787957191467285,332511,2.3848724365234375,1194780.1887
QINGHAI,175655.765625,2.4663825035095215,71220,2.515213966369629,276974.0112375
XIZANG,163182.40625,2.6496241092681885,61587,2.707439422607422,257306.01817499998
GANSU,118368.640625,2.3624117374420166,50105,2.4210031032562256,186643.67253749998
XINJIANG UYGUR,88299.234375,2.2790427207946777,38744,2.3178155422210693,139230.23276249997
HEILONGJIANG,58961.90625,2.1042041778564453,28021,2.1450347900390625,92971.13377500001
JILIN,53681.65625,2.188854455947876,24525,2.217761754989624,84645.23557499998
HEBEI,24502.453125,2.316140651702881,10579,2.3290650844573975,38635.4680875
NINGXIA HUI,22653.31640625,2.4329628944396973,9311,2.4543254375457764,35719.749309374994
SHANXI,10884.5400390625,2.3786144256591797,4576,2.3936495780944824,17162.74273359375
SHAANXI,5102.9208984375,2.427650213241577,2102,2.449150323867798,8046.28567265625
LIAONING,3504.66552734375,2.2921292781829834,1529,2.3086209297180176,5526.156603515625
SICHUAN,2995.216796875,2.627383232116699,1140,2.6946656703948975,4722.857845312499
YUNNAN,5.557126045227051,2.7785630226135254,2,2.7833237648010254,8.762476348114012
