admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
NEI MONGOL,1304908.25,2.2694056034088135,575000,2.387240409851074,2057579.3286
XIZANG,464485.84375,2.655524969100952,174913,2.7092113494873047,732401.2784249999
XINJIANG UYGUR,430568.6875,2.2749154567718506,189268,2.3875784873962402,678920.70645
QINGHAI,373432.625,2.4777402877807617,150715,2.543830394744873,588828.5631
GANSU,291244.34375,2.3880903720855713,121957,2.472604274749756,459234.081225
HEILONGJIANG,226774.578125,2.1071200370788574,107623,2.1623053550720215,357578.15478750004
JILIN,149646.40625,2.208216428756714,67768,2.2506120204925537,235962.45337499998
LIAONING,135598.75,2.3149988651275635,58574,2.359858989715576,213812.10899999997
SHANXI,107965.4140625,2.4058072566986084,44877,2.4514167308807373,170239.86489375003
HEBEI,96689.34375,2.339843273162842,41323,2.384533643722534,152459.757225
NINGXIA HUI,83754.5,2.4498932361602783,34187,2.4770560264587402,132064.0956
SHAANXI,63591.7578125,2.4316213130950928,26152,2.457550048828125,100271.48371874998
SICHUAN,45623.46875,2.6385674476623535,17291,2.7018442153930664,71939.08552499999
YUNNAN,8823.017578125,2.7789032459259033,3175,2.7944068908691406,13912.134117187497
TIANJIN,6790.78173828125,2.392805337905884,2838,2.410388231277466,10707.704644921874
SHANDONG,5946.32373046875,2.4571585655212402,2420,2.482757568359375,9376.163258203125
BEIJING,1251.0283203125,2.3648929595947266,529,2.3787665367126465,1972.62145546875
