admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
NEI MONGOL,52047.4453125,0.18952946364879608,274614,0.19742552936077118,155018.11111875
XINJIANG UYGUR,19071.15625,0.18765835464000702,101627,0.1971346139907837,56801.531775
GANSU,6679.1240234375,0.1968965232372284,33922,0.19889962673187256,19893.10299140625
HEBEI,2940.932861328125,0.19546277821063995,15046,0.19889962673187256,8759.274434179688
XIZANG,2539.15771484375,0.22294825315475464,11389,0.22767986357212067,7562.627337890625
JILIN,1755.99072265625,0.18528972566127777,9477,0.18697839975357056,5230.042768359376
QINGHAI,1620.437255859375,0.20828242599964142,7780,0.21669058501720428,4826.310322851563
SHANXI,1389.3125,0.20193496346473694,6880,0.20665045082569122,4137.92835
NINGXIA HUI,1052.00341796875,0.20615391433238983,5103,0.20905493199825287,3133.286980078125
LIAONING,945.40185546875,0.19349199533462524,4886,0.19608226418495178,2815.7848863281256
SICHUAN,545.303466796875,0.2233019918203354,2442,0.22860614955425262,1624.1318455078126
YUNNAN,242.27996826171875,0.23363545536994934,1037,0.2375478595495224,721.6066574707031
HEILONGJIANG,216.95687866210938,0.17945151031017303,1209,0.18060320615768433,646.1843674072265
SHAANXI,215.0964813232422,0.20622864365577698,1043,0.20640714466571808,640.6433599731445
FUJIAN,191.66326904296875,0.2345939576625824,817,0.2355363816022873,570.8498805175781
SHANDONG,115.01145935058594,0.2068551480770111,556,0.20852509140968323,342.55013052978524
BEIJING,66.58302307128906,0.19875529408454895,335,0.19904328882694244,198.31087591552736
GUANGXI,29.80997085571289,0.23472417891025543,127,0.23563943803310394,88.78601719665528
HUNAN,15.482446670532227,0.23458252847194672,66,0.23469269275665283,46.11291916351318
GUIZHOU,10.900440216064453,0.23192426562309265,47,0.23328235745429993,32.465871139526364
HENAN,10.207426071166992,0.212654709815979,48,0.21450190246105194,30.401797810363767
GUANGDONG,3.0956015586853027,0.23812319338321686,13,0.24027259647846222,9.219939682388306
HUBEI,0.6706702709197998,0.2235567569732666,3,0.22358526289463043,1.9975243349075318
ZHEJIANG,0.4530307650566101,0.22651538252830505,2,0.22783565521240234,1.3493068306446079
