admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
NEI MONGOL,18361.34765625,0.19003671407699585,96620,0.19537632167339325,54687.43785937501
XINJIANG UYGUR,8062.77197265625,0.18623730540275574,43293,0.1930878609418869,24014.16004335938
GANSU,2758.60400390625,0.19621622562408447,14059,0.19788971543312073,8216.226165234375
HEBEI,682.1482543945312,0.19473259150981903,3503,0.19619958102703094,2031.710360888672
QINGHAI,195.9451446533203,0.20305196940898895,965,0.20836563408374786,583.6030188354492
SHANXI,146.71652221679688,0.2026471346616745,724,0.2123079150915146,436.98048977050786
NINGXIA HUI,143.57443237304688,0.20628510415554047,696,0.20828582346439362,427.6220893798828
FUJIAN,102.7166748046875,0.23451295495033264,438,0.23549215495586395,305.93134423828127
LIAONING,96.42974853515625,0.19247454404830933,501,0.19371552765369415,287.20636303710944
XIZANG,85.89089965820312,0.2225152850151062,386,0.22671866416931152,255.81745554199222
SHAANXI,14.026856422424316,0.2062772959470749,68,0.20636112987995148,41.77758916854859
SICHUAN,11.761323928833008,0.226179301738739,52,0.229599267244339,35.02992718963623
JILIN,11.294185638427734,0.18515057861804962,61,0.1867603063583374,33.63860250549317
SHANDONG,5.622971534729004,0.20825821161270142,27,0.20852509140968323,16.747458419036867
GUANGXI,5.173171043395996,0.23514413833618164,22,0.23560266196727753,15.407772635650636
YUNNAN,4.900904655456543,0.2333764135837555,21,0.234278604388237,14.596854425811769
HUNAN,3.2843844890594482,0.23459888994693756,14,0.23463080823421478,9.78221076221466
BEIJING,2.780128002166748,0.1985805779695511,14,0.1988421231508255,8.280333241653443
HEILONGJIANG,1.8111447095870972,0.18111446499824524,10,0.18133410811424255,5.394313403034211
