admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
NEI MONGOL,93722.921875,0.18965110182762146,494186,0.19849656522274017,279144.35051250004
XINJIANG UYGUR,33113.66015625,0.18879370391368866,175396,0.1982657015323639,98625.725409375
GANSU,12380.7939453125,0.19774150848388672,62611,0.2064342051744461,36874.95668671875
XIZANG,9403.2890625,0.22275285422801971,42214,0.22767986357212067,28006.75614375
JILIN,9017.1865234375,0.1849527508020401,48754,0.18828098475933075,26856.788341406253
LIAONING,6306.2470703125,0.19375815987586975,32547,0.1964631974697113,18782.526274218748
HEILONGJIANG,5897.328125,0.1783178597688675,33072,0.1813444197177887,17564.602087500003
QINGHAI,5463.796875,0.2098071128129959,26042,0.21698370575904846,16273.372612500003
HEBEI,5007.32470703125,0.1956368386745453,25595,0.19912941753864288,14913.815907421877
NINGXIA HUI,2887.862060546875,0.20633481442928314,13996,0.20910777151584625,8601.208361132814
SHANXI,2657.82958984375,0.20213168859481812,13149,0.20675840973854065,7916.079650390626
SICHUAN,1674.1104736328125,0.22306601703166962,7505,0.2278704196214676,4986.170634667968
SHANDONG,769.9385986328125,0.20663945376873016,3726,0.2086843103170395,2293.1851221679685
SHAANXI,749.146484375,0.20614928007125854,3634,0.20683932304382324,2231.2578890625
YUNNAN,715.3084716796875,0.23368456959724426,3061,0.23733584582805634,2130.4747520507813
FUJIAN,278.01708984375,0.2346135824918747,1185,0.23556584119796753,828.046100390625
BEIJING,98.56805419921875,0.19872590899467468,496,0.19922982156276703,293.57509262695316
GUANGXI,92.56289672851562,0.23493121564388275,394,0.2358357161283493,275.689331616211
HENAN,61.536407470703125,0.21292874217033386,289,0.2146620899438858,183.28003601074218
GUIZHOU,44.305137634277344,0.23196406662464142,191,0.23340170085430145,131.95842192993166
HUNAN,38.44245147705078,0.23440518975257874,164,0.23473016917705536,114.49699747924805
GUANGDONG,31.64557456970215,0.23793664574623108,133,0.23858557641506195,94.2531792984009
JIANGSU,4.405548095703125,0.22027739882469177,20,0.22068344056606293,13.121484448242189
TIANJIN,4.057129859924316,0.20285649597644806,20,0.20292480289936066,12.083755574798584
HUBEI,2.6754167079925537,0.22295139729976654,12,0.22361448407173157,7.968461123085023
ZHEJIANG,2.502148389816284,0.22746802866458893,11,0.23056019842624664,7.452398764228821
CHONGQING,1.578675389289856,0.22552505135536194,7,0.2262696474790573,4.701926779460908
JIANGXI,1.1587073802947998,0.23174147307872772,5,0.23382164537906647,3.451094061470032
