criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
biomass_resource,-30.0,0.3517,0.2462,0.9859,14797.43,True
biomass_resource,-20.0,0.3517,0.2814,0.9891,11067.01,True
biomass_resource,-10.0,0.3517,0.3166,0.9944,6832.45,True
biomass_resource,10.0,0.3517,0.3869,0.9924,8680.86,True
biomass_resource,20.0,0.3517,0.4221,0.9685,22207.85,True
biomass_resource,30.0,0.3517,0.4572,0.9228,39065.72,False
lc_biomass,-30.0,0.2613,0.1829,0.9223,37200.71,False
lc_biomass,-20.0,0.2613,0.2091,0.9665,21356.24,True
lc_biomass,-10.0,0.2613,0.2352,0.993,7270.47,True
lc_biomass,10.0,0.2613,0.2875,0.9955,4711.06,True
lc_biomass,20.0,0.2613,0.3136,0.9909,7051.55,True
lc_biomass,30.0,0.2613,0.3397,0.9903,7520.1,True
river_biomass,-30.0,0.1419,0.0993,1.0,591.76,True
river_biomass,-20.0,0.1419,0.1135,1.0,420.82,True
river_biomass,-10.0,0.1419,0.1277,1.0,223.76,True
river_biomass,10.0,0.1419,0.156,1.0,249.82,True
river_biomass,20.0,0.1419,0.1702,1.0,525.15,True
river_biomass,30.0,0.1419,0.1844,0.9999,826.38,True
grid_suitability,-30.0,0.1021,0.0715,0.9981,6147.65,True
grid_suitability,-20.0,0.1021,0.0817,0.9991,4108.99,True
grid_suitability,-10.0,0.1021,0.0919,0.9998,2065.36,True
grid_suitability,10.0,0.1021,0.1123,0.9998,2109.74,True
grid_suitability,20.0,0.1021,0.1225,0.9991,4239.77,True
grid_suitability,30.0,0.1021,0.1327,0.9979,6410.03,True
pop_suitability,-30.0,0.0735,0.0514,1.0,341.38,True
pop_suitability,-20.0,0.0735,0.0588,1.0,242.53,True
pop_suitability,-10.0,0.0735,0.0661,1.0,128.92,True
pop_suitability,10.0,0.0735,0.0808,1.0,144.31,True
pop_suitability,20.0,0.0735,0.0882,1.0,304.03,True
pop_suitability,30.0,0.0735,0.0955,1.0,479.62,True
terrain_score,-30.0,0.0399,0.0279,0.9998,1544.85,True
terrain_score,-20.0,0.0399,0.0319,0.9999,1047.86,True
terrain_score,-10.0,0.0399,0.0359,1.0,533.05,True
terrain_score,10.0,0.0399,0.0439,1.0,555.02,True
terrain_score,20.0,0.0399,0.0479,0.9999,1134.74,True
terrain_score,30.0,0.0399,0.0519,0.9998,1740.38,True
seismic_suitability,-30.0,0.0296,0.0207,1.0,453.03,True
seismic_suitability,-20.0,0.0296,0.0237,1.0,317.89,True
seismic_suitability,-10.0,0.0296,0.0267,1.0,166.72,True
seismic_suitability,10.0,0.0296,0.0326,1.0,181.1,True
seismic_suitability,20.0,0.0296,0.0356,1.0,375.04,True
seismic_suitability,30.0,0.0296,0.0385,1.0,581.35,True
