threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,3784494.2,567.674,3232.337,3874928,
0.35,3700397.2,555.06,3160.509,3790330,-0.173
0.4,3601348.5,540.202,3075.912,3690851,-0.261
0.45,3465349.5,519.802,2959.755,3554397,-0.383
0.5,3306254.5,495.938,2823.872,3395266,-0.561
0.55,3094197.5,464.13,2642.754,3183515,-0.944
0.6,2774907.0,416.236,2370.048,2864335,-2.108
0.65,2119503.2,317.925,1810.268,2192385,-3.542
0.7,1619847.0,242.977,1383.511,1667464,-3.549
0.75,1298356.4,194.753,1108.926,1335230,-4.163
0.8,899092.6,134.864,767.915,920599,
