parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,0.5,0.35,136.327,776.248,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,0.5,0.4,155.803,887.141,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,0.5,0.45,175.278,998.034,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,0.5,0.55,214.229,1219.819,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,0.5,0.6,233.704,1330.711,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,0.5,0.65,253.179,1441.604,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.3,0.21,136.327,776.248,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.3,0.24,155.803,887.141,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.3,0.27,175.278,998.034,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.3,0.33,214.229,1219.819,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.3,0.36,233.704,1330.711,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.3,0.39,253.179,1441.604,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.65,0.455,194.753,776.248,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.65,0.52,194.753,887.141,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.65,0.585,194.753,998.034,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.65,0.715,194.753,1219.819,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.65,0.78,194.753,1330.711,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.65,0.845,194.753,1441.604,0.0,30.0,0.0,1.0
