criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
solar_resource,-30.0,0.3663,0.2564,0.8297,67071.51,False
solar_resource,-20.0,0.3663,0.2931,0.9146,47211.36,False
solar_resource,-10.0,0.3663,0.3297,0.9777,23927.96,True
solar_resource,10.0,0.3663,0.403,0.9827,21327.25,True
solar_resource,20.0,0.3663,0.4396,0.9464,38080.33,False
solar_resource,30.0,0.3663,0.4763,0.9061,50951.73,False
grid_suitability,-30.0,0.2618,0.1833,0.921,48079.34,False
grid_suitability,-20.0,0.2618,0.2095,0.9582,34524.61,True
grid_suitability,-10.0,0.2618,0.2357,0.9877,18425.38,True
grid_suitability,10.0,0.2618,0.288,0.986,19385.56,True
grid_suitability,20.0,0.2618,0.3142,0.9469,37861.84,False
grid_suitability,30.0,0.2618,0.3404,0.8906,54135.69,False
terrain_score,-30.0,0.1784,0.1249,0.99,14939.47,True
terrain_score,-20.0,0.1784,0.1427,0.9949,10637.46,True
terrain_score,-10.0,0.1784,0.1606,0.9986,5650.5,True
terrain_score,10.0,0.1784,0.1962,0.9982,6256.29,True
terrain_score,20.0,0.1784,0.2141,0.9924,13019.63,True
terrain_score,30.0,0.1784,0.2319,0.9819,20164.66,True
river_solar,-30.0,0.0892,0.0624,0.9996,3335.15,True
river_solar,-20.0,0.0892,0.0714,0.9998,2381.9,True
river_solar,-10.0,0.0892,0.0803,0.9999,1272.45,True
river_solar,10.0,0.0892,0.0981,0.9999,1442.0,True
river_solar,20.0,0.0892,0.107,0.9997,3060.04,True
river_solar,30.0,0.0892,0.116,0.9992,4859.42,True
seismic_suitability,-30.0,0.0608,0.0425,1.0,761.8,True
seismic_suitability,-20.0,0.0608,0.0486,1.0,542.14,True
seismic_suitability,-10.0,0.0608,0.0547,1.0,288.68,True
seismic_suitability,10.0,0.0608,0.0668,1.0,324.78,True
seismic_suitability,20.0,0.0608,0.0729,1.0,686.57,True
seismic_suitability,30.0,0.0608,0.079,0.9999,1086.8,True
pop_suitability,-30.0,0.0434,0.0304,1.0,129.69,True
pop_suitability,-20.0,0.0434,0.0347,1.0,92.15,True
pop_suitability,-10.0,0.0434,0.0391,1.0,49.03,True
pop_suitability,10.0,0.0434,0.0478,1.0,54.83,True
pop_suitability,20.0,0.0434,0.0521,1.0,115.29,True
pop_suitability,30.0,0.0434,0.0565,1.0,181.79,True
