threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,6095613.0,15239.033,24028.906,6280701,
0.35,5999234.0,14998.085,23648.98,6185214,-0.202
0.4,5750139.0,14375.347,22667.048,5933818,-0.629
0.45,5095151.5,12737.879,20085.087,5266331,-1.243
0.5,4342826.5,10857.066,17119.422,4500609,-2.318
0.55,3081895.8,7704.739,12148.833,3227293,-3.882
0.6,2167848.2,5419.621,8545.658,2298800,-4.326
0.65,1518837.0,3797.093,5987.255,1618609,-4.919
0.7,1018515.9,2546.29,4014.99,1088941,-6.355
0.75,594209.1,1485.523,2342.372,635952,-9.727
0.8,247838.3,619.596,976.979,265186,
