parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,50.0,35.0,1039.866,1639.661,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,50.0,40.0,1188.418,1873.898,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,50.0,45.0,1336.971,2108.135,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,50.0,55.0,1634.075,2576.61,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,50.0,60.0,1782.627,2810.847,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,50.0,65.0,1931.18,3045.084,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.05,0.035,1039.866,1639.661,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.05,0.04,1188.418,1873.898,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.05,0.045,1336.971,2108.135,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.05,0.055,1634.075,2576.61,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.05,0.06,1782.627,2810.847,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.05,0.065,1931.18,3045.084,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.18,0.126,1485.523,1639.661,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.18,0.144,1485.523,1873.898,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.18,0.162,1485.523,2108.135,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.18,0.198,1485.523,2576.61,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.18,0.216,1485.523,2810.847,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.18,0.234,1485.523,3045.084,0.0,30.0,0.0,1.0
