criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
wind_resource,-30.0,0.4249,0.2974,0.8665,60820.75,False
wind_resource,-20.0,0.4249,0.3399,0.9504,36943.59,True
wind_resource,-10.0,0.4249,0.3824,0.9901,16414.37,True
wind_resource,10.0,0.4249,0.4673,0.994,12877.83,True
wind_resource,20.0,0.4249,0.5098,0.9811,22914.55,True
wind_resource,30.0,0.4249,0.5523,0.9664,30793.05,True
grid_suitability,-30.0,0.2664,0.1865,0.9732,27870.26,True
grid_suitability,-20.0,0.2664,0.2131,0.9859,20064.31,True
grid_suitability,-10.0,0.2664,0.2397,0.9958,10818.43,True
grid_suitability,10.0,0.2664,0.293,0.9946,12241.92,True
grid_suitability,20.0,0.2664,0.3197,0.9767,25588.28,True
grid_suitability,30.0,0.2664,0.3463,0.9439,39824.02,False
terrain_score,-30.0,0.1653,0.1157,0.9974,7578.34,True
terrain_score,-20.0,0.1653,0.1323,0.9987,5399.23,True
terrain_score,-10.0,0.1653,0.1488,0.9996,2872.54,True
terrain_score,10.0,0.1653,0.1819,0.9995,3198.95,True
terrain_score,20.0,0.1653,0.1984,0.998,6699.36,True
terrain_score,30.0,0.1653,0.2149,0.9953,10479.19,True
pop_suitability,-30.0,0.079,0.0553,1.0,415.05,True
pop_suitability,-20.0,0.079,0.0632,1.0,295.9,True
pop_suitability,-10.0,0.079,0.0711,1.0,157.89,True
pop_suitability,10.0,0.079,0.0869,1.0,178.16,True
pop_suitability,20.0,0.079,0.0948,1.0,377.11,True
pop_suitability,30.0,0.079,0.1027,1.0,597.87,True
seismic_suitability,-30.0,0.0394,0.0276,1.0,222.68,True
seismic_suitability,-20.0,0.0394,0.0315,1.0,158.04,True
seismic_suitability,-10.0,0.0394,0.0354,1.0,83.96,True
seismic_suitability,10.0,0.0394,0.0433,1.0,93.73,True
seismic_suitability,20.0,0.0394,0.0472,1.0,197.1,True
seismic_suitability,30.0,0.0394,0.0512,1.0,310.66,True
river_wind,-30.0,0.0251,0.0175,1.0,156.38,True
river_wind,-20.0,0.0251,0.0201,1.0,110.73,True
river_wind,-10.0,0.0251,0.0226,1.0,58.65,True
river_wind,10.0,0.0251,0.0276,1.0,65.26,True
river_wind,20.0,0.0251,0.0301,1.0,137.19,True
river_wind,30.0,0.0251,0.0326,1.0,215.93,True
