threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,5513108.0,1157.753,3448.251,5687628,
0.35,4907101.0,1030.491,3069.215,5076406,-0.993
0.4,4121047.5,865.42,2577.567,4288027,-1.549
0.45,3311700.8,695.457,2071.35,3470846,-2.136
0.5,2548853.2,535.259,1594.216,2699215,-2.772
0.55,1898705.8,398.728,1187.572,2031421,-3.288
0.6,1413615.5,296.859,884.166,1523548,-4.21
0.65,906800.1,190.428,567.171,988414,-5.558
0.7,638300.0,134.043,399.234,697115,-5.156
0.75,436688.0,91.704,273.133,478469,-6.301
0.8,271422.5,56.999,169.765,298853,
