parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,7.0,4.9,64.193,191.193,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,7.0,5.6,73.364,218.506,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,7.0,6.3,82.534,245.819,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,7.0,7.7,100.875,300.446,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,7.0,8.4,110.045,327.759,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,7.0,9.1,119.216,355.072,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.03,0.021,64.193,191.193,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.03,0.024,73.364,218.506,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.03,0.027,82.534,245.819,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.03,0.033,100.875,300.446,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.03,0.036,110.045,327.759,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.03,0.039,119.216,355.072,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.34,0.238,91.704,191.193,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.34,0.272,91.704,218.506,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.34,0.306,91.704,245.819,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.34,0.374,91.704,300.446,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.34,0.408,91.704,327.759,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.34,0.442,91.704,355.072,0.0,30.0,0.0,1.0
