admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
BANI SUWAYF,80138.265625,71.10759735107422,1127,71.10760498046875
AL FAYYUM,88244.53125,71.10759735107422,1241,71.10760498046875
AL UQSUR,8746.234375,71.10759735107422,123,71.10760498046875
DUMYAT,26594.2421875,71.10759735107422,374,71.10760498046875
KAFR ASH SHAYKH,145983.90625,71.10760498046875,2053,71.10760498046875
AL WADI AL JADID,115407.640625,71.10760498046875,1623,71.10760498046875
AL BUHAYRAH,374026.0,71.10760498046875,5260,71.10760498046875
ASH SHARQIYAH,218300.34375,71.10760498046875,3070,71.10760498046875
AL MINUFIYAH,93008.75,71.10760498046875,1308,71.10760498046875
AL GHARBIYAH,104172.640625,71.10760498046875,1465,71.10760498046875
SUHAJ,84120.296875,71.10760498046875,1183,71.10760498046875
ASYUT,85044.6953125,71.10760498046875,1196,71.10760498046875
QINA,82342.609375,71.10760498046875,1158,71.10760498046875
AL JIZAH,61010.32421875,71.10760498046875,858,71.10760498046875
AD DAQAHLIYAH,184950.875,71.10760498046875,2601,71.10760498046875
AL MINYA,149325.96875,71.10760498046875,2100,71.10760498046875
JANUB SINA',711.0760498046875,71.10760498046875,10,71.10760498046875
AL ISKANDARIYAH,58166.01953125,71.10760498046875,818,71.10760498046875
AL ISMA`ILIYAH,50841.9375,71.10760498046875,715,71.10760498046875
ASWAN,57454.9453125,71.10760498046875,808,71.10760498046875
AL QALYUBIYAH,38255.890625,71.10760498046875,538,71.10760498046875
BUR SA`ID,20265.66796875,71.10760498046875,285,71.10760498046875
SHAMAL SINA',9670.634765625,71.10760498046875,136,71.10760498046875
AS SUWAYS,5119.74755859375,71.10760498046875,72,71.10760498046875
AL QAHIRAH,142.2152099609375,71.10760498046875,2,71.10760498046875
MATROUH,79284.984375,71.10761260986328,1115,71.10760498046875
