admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
JANUB SINA',113755.203125,33.605674743652344,3385,41.82548141479492
SUHAJ,54061.5625,34.04380416870117,1588,37.98204040527344
AL MINYA,32061.796875,34.736507415771484,923,43.56081008911133
SHAMAL SINA',79464.734375,36.823326110839844,2158,41.84937286376953
AL BAHR AL AHMAR,189308.609375,37.1922607421875,5090,44.74943161010742
ASYUT,30200.61328125,39.119964599609375,772,48.20033264160156
QINA,45816.140625,40.58116912841797,1129,46.22951889038086
AL WADI AL JADID,267820.3125,41.72305679321289,6419,47.83171081542969
BANI SUWAYF,4492.61083984375,42.78676986694336,105,46.77922439575195
AS SUWAYS,3055.8037109375,45.6090087890625,67,47.393409729003906
ASWAN,86227.15625,47.82426834106445,1803,49.854007720947266
AL JIZAH,6170.5673828125,47.83385467529297,129,49.89046859741211
