admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
AS SUWAYS,16730.97265625,53.797340393066406,311,61.874629974365234
AL BAHR AL AHMAR,339477.78125,55.67947769165039,6097,68.41366577148438
JANUB SINA',136447.28125,58.0379753112793,2351,71.1938247680664
AL JIZAH,10464.5751953125,58.78974914550781,178,74.06398010253906
AL FAYYUM,12820.6171875,60.474609375,212,70.06269073486328
SHAMAL SINA',3404.3623046875,60.79218292236328,56,73.98731231689453
BANI SUWAYF,8532.7431640625,61.38664245605469,139,69.51268005371094
SUHAJ,106662.96875,61.51266860961914,1734,73.63972473144531
QINA,10376.9833984375,62.51194763183594,166,78.13307189941406
AL WADI AL JADID,548337.625,62.69581985473633,8746,73.24461364746094
ASWAN,233803.5625,64.9454345703125,3600,78.07167053222656
AL MINYA,57140.1796875,70.5434341430664,810,79.6561508178711
ASYUT,27771.888671875,73.86140441894531,376,80.54157257080078
AL QAHIRAH,1067.083251953125,76.22023010253906,14,79.35893249511719
