admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
AL BUHAYRAH,669.84375,0.1273467242717743,5260,0.12798604369163513,4107.4818749999995
ASH SHARQIYAH,391.2120361328125,0.12743063271045685,3070,0.1277681440114975,2398.912205566406
AD DAQAHLIYAH,330.1745910644531,0.12694139778614044,2601,0.12727701663970947,2024.6305924072262
AL MINYA,274.16741943359375,0.1305559128522873,2100,0.13115371763706207,1681.1946159667968
KAFR ASH SHAYKH,260.14093017578125,0.12671257555484772,2053,0.12692464888095856,1595.1841838378907
AL WADI AL JADID,218.69154357910156,0.134745255112648,1623,0.13687272369861603,1341.0165452270505
AL GHARBIYAH,186.34759521484375,0.12719972431659698,1465,0.12741975486278534,1142.683453857422
AL MINUFIYAH,167.06793212890625,0.12772777676582336,1308,0.1279604732990265,1024.460559814453
AL FAYYUM,160.32015991210938,0.12918627262115479,1241,0.12940570712089539,983.0832205810545
ASYUT,157.482177734375,0.13167406618595123,1196,0.13199065625667572,965.6807138671874
SUHAJ,156.76266479492188,0.13251282274723053,1183,0.13284042477607727,961.2686605224609
QINA,154.2540283203125,0.1332072764635086,1158,0.13378696143627167,945.8857016601561
BANI SUWAYF,146.00408935546875,0.12955109775066376,1127,0.12982304394245148,895.2970759277343
MATROUH,141.27359008789062,0.12670277059078217,1115,0.12734195590019226,866.2896544189452
AL JIZAH,110.45332336425781,0.12873347103595734,858,0.1303202360868454,677.2997788696289
ASWAN,108.81082916259766,0.13466687500476837,808,0.1348395198583603,667.2280044250489
AL ISKANDARIYAH,104.07838439941406,0.12723518908023834,818,0.1273808777332306,638.208653137207
AL ISMA`ILIYAH,91.22964477539062,0.12759390473365784,715,0.12781952321529388,559.4201817626953
AL QALYUBIYAH,68.82510375976562,0.12792770564556122,538,0.12808819115161896,422.0355362548828
DUMYAT,47.356163024902344,0.12662075459957123,374,0.12675397098064423,290.3879916687011
BUR SA`ID,36.20014572143555,0.1270180493593216,285,0.1271338015794754,221.97929356384273
SHAMAL SINA',17.26142120361328,0.12692221999168396,136,0.12742623686790466,105.84703482055663
AL UQSUR,16.414363861083984,0.13345010578632355,123,0.13355639576911926,100.65287919616699
AS SUWAYS,9.226831436157227,0.12815043330192566,72,0.12825365364551544,56.57893036651611
JANUB SINA',1.2969307899475098,0.12969307601451874,10,0.13040566444396973,7.95277960395813
AL QAHIRAH,0.2562401294708252,0.1281200647354126,2,0.1281251609325409,1.5712644739150998
