admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
AL BUHAYRAH,624.6138916015625,0.12734228372573853,4905,0.1279604732990265,3830.1323833007814
ASH SHARQIYAH,375.90179443359375,0.12742434442043304,2950,0.1277681440114975,2305.0298034667967
AD DAQAHLIYAH,328.2669677734375,0.126940056681633,2586,0.12727701663970947,2012.9330463867186
AL MINYA,260.308349609375,0.13054580986499786,1994,0.13115371763706207,1596.2107998046874
KAFR ASH SHAYKH,256.59783935546875,0.12671498954296112,2025,0.12692464888095856,1573.4579509277344
AL GHARBIYAH,180.8748321533203,0.1271974891424179,1422,0.12741975486278534,1109.1244707641602
AL MINUFIYAH,156.3361053466797,0.12772557139396667,1224,0.1279604732990265,958.6529979858399
SUHAJ,153.31781005859375,0.13251323997974396,1157,0.13284042477607727,940.1448112792967
AL FAYYUM,153.08551025390625,0.12918607890605927,1185,0.12940570712089539,938.720348876953
ASYUT,151.55477905273438,0.13167226314544678,1151,0.13199065625667572,929.3339051513672
QINA,146.79379272460938,0.13320671021938324,1102,0.13377612829208374,900.1395369873047
BANI SUWAYF,136.29107666015625,0.12955425679683685,1052,0.12982304394245148,835.736882080078
AL WADI AL JADID,136.21240234375,0.1340673267841339,1016,0.13684390485286713,835.2544511718748
MATROUH,129.08981323242188,0.1266828328371048,1019,0.12734195590019226,791.578734741211
AL ISKANDARIYAH,100.39372253417969,0.12724173069000244,789,0.1273808777332306,615.6143065795899
ASWAN,97.8919677734375,0.13465194404125214,727,0.1348290890455246,600.2735463867187
AL JIZAH,91.61570739746094,0.1286737471818924,712,0.12928085029125214,561.7875177612303
AL ISMA`ILIYAH,76.93851470947266,0.12759289145469666,603,0.1278066784143448,471.78697219848635
AL QALYUBIYAH,60.76704788208008,0.1279306262731552,475,0.1280958503484726,372.62353761291496
DUMYAT,46.470584869384766,0.12662284076213837,367,0.12675397098064423,284.95762641906737
BUR SA`ID,35.946075439453125,0.12701793015003204,283,0.1271338015794754,220.42133459472657
AL UQSUR,15.613384246826172,0.13344772160053253,117,0.13355858623981476,95.74127220153808
SHAMAL SINA',11.296091079711914,0.1269223690032959,89,0.12743787467479706,69.26763050079344
AS SUWAYS,8.586122512817383,0.1281510889530182,67,0.12826381623744965,52.65010324859618
AL QAHIRAH,0.2562401294708252,0.1281200647354126,2,0.1281251609325409,1.5712644739150998
JANUB SINA',0.13041648268699646,0.13041648268699646,1,0.13041648268699646,0.7997138718366622
