admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
AL BUHAYRAH,674.826416015625,0.12734976410865784,5299,0.12798604369163513,4138.035583007812
ASH SHARQIYAH,392.3623962402344,0.12743176519870758,3079,0.1277681440114975,2405.9662137451173
AD DAQAHLIYAH,330.1745910644531,0.12694139778614044,2601,0.12727701663970947,2024.6305924072262
AL MINYA,279.78485107421875,0.1305575668811798,2143,0.13114194571971893,1715.6407067871094
KAFR ASH SHAYKH,260.14093017578125,0.12671257555484772,2053,0.12692464888095856,1595.1841838378907
AL WADI AL JADID,230.7523651123047,0.13470657169818878,1713,0.13685351610183716,1414.973502868652
AL GHARBIYAH,186.34759521484375,0.12719972431659698,1465,0.12741975486278534,1142.683453857422
AL MINUFIYAH,167.3235626220703,0.1277279108762741,1310,0.1279604732990265,1026.028085998535
AL FAYYUM,160.7077178955078,0.12918627262115479,1244,0.12940570712089539,985.4597261352538
ASYUT,159.32492065429688,0.13167348504066467,1210,0.13199065625667572,976.9804134521485
SUHAJ,157.29324340820312,0.13251326978206635,1187,0.13284042477607727,964.5221685791016
QINA,155.05258178710938,0.13320668041706085,1164,0.1337837129831314,950.7824315185545
MATROUH,153.07125854492188,0.12671461701393127,1208,0.12734195590019226,938.6329573974609
BANI SUWAYF,146.9118194580078,0.12955187261104584,1134,0.12982304394245148,900.8632769165039
AL JIZAH,113.69261932373047,0.12875720858573914,883,0.13034431636333466,697.1631416931151
ASWAN,111.78178405761719,0.13467684388160706,830,0.1348395198583603,685.4458998413085
AL ISKANDARIYAH,105.4748764038086,0.1272314488887787,829,0.1273808777332306,646.7719421081543
AL ISMA`ILIYAH,93.39899444580078,0.1275942474603653,732,0.1278323531150818,572.7226339416504
AL QALYUBIYAH,69.84976196289062,0.12792997062206268,546,0.12808819115161896,428.3187403564453
DUMYAT,47.98871612548828,0.12661930918693542,379,0.12675397098064423,294.2668072814941
BUR SA`ID,36.454124450683594,0.12701785564422607,287,0.1271338015794754,223.5366911315918
SHAMAL SINA',25.383487701416016,0.12691743671894073,200,0.12734454870224,155.651546585083
AL UQSUR,16.547868728637695,0.13345055282115936,124,0.1335553079843521,101.47153104400635
AS SUWAYS,10.124574661254883,0.12815918028354645,79,0.1282815933227539,62.083891822814934
JANUB SINA',1.9481399059295654,0.12987598776817322,15,0.13041648268699646,11.945993903160094
AL QAHIRAH,1.4116106033325195,0.12832823395729065,11,0.12859520316123962,8.65599621963501
AL BAHR AL AHMAR,0.2650277316570282,0.1325138658285141,2,0.13267652690410614,1.625150050520897
