admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
AL WADI AL JADID,19886.357421875,3.098046064376831,6419,3.138423442840576,45293.1676640625
AL BAHR AL AHMAR,15323.025390625,3.0104174613952637,5090,3.040689468383789,34899.7226296875
JANUB SINA',10075.6484375,2.976557970046997,3385,2.997202157974243,22948.29688125
SHAMAL SINA',6360.38134765625,2.947350025177002,2158,2.952441930770874,14486.404557421876
ASWAN,5603.7939453125,3.108038902282715,1803,3.1311376094818115,12763.20108984375
SUHAJ,4811.17822265625,3.0297091007232666,1588,3.0349767208099365,10957.939519921876
QINA,3432.9716796875,3.0407190322875977,1129,3.045283555984497,7818.93629765625
AL MINYA,2761.085693359375,2.9914255142211914,923,2.9931044578552246,6288.648775195313
ASYUT,2331.51318359375,3.020094871520996,772,3.0247859954833984,5310.254426953125
AL JIZAH,384.3751220703125,2.979652166366577,129,2.9862847328186035,875.4527780273438
BANI SUWAYF,312.7639465332031,2.9787042140960693,105,2.990361213684082,712.3511646240235
AS SUWAYS,198.88888549804688,2.9684908390045166,67,2.9700610637664795,452.98932561035156
