admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
AL WADI AL JADID,60635.03125,3.0937819480895996,19599,3.137765407562256,138102.347175
AL BAHR AL AHMAR,35096.8203125,3.0287210941314697,11588,3.097437620162964,79936.51794374999
ASWAN,26550.685546875,3.103891134262085,8554,3.132026195526123,60471.8414015625
JANUB SINA',19621.75390625,2.9729928970336914,6600,2.9958384037017822,44690.506696874996
AL MINYA,13665.45703125,2.992217540740967,4567,3.003445625305176,31124.444934375002
QINA,12075.5,3.047060251235962,3963,3.059966564178467,27503.1588
SUHAJ,11898.173828125,3.0329272747039795,3923,3.041435718536377,27099.280710937503
SHAMAL SINA',11770.94921875,2.942737340927124,4000,2.9521548748016357,26809.513940625002
ASYUT,10744.9912109375,3.01910400390625,3559,3.0253119468688965,24472.79198203125
AL JIZAH,6059.1494140625,2.977468967437744,2035,2.987884521484375,13800.31870546875
AS SUWAYS,3191.885009765625,2.958188056945801,1079,2.9694981575012207,7269.837298242188
BANI SUWAYF,2751.485595703125,2.9777982234954834,924,2.9895365238189697,6266.783592773438
AL UQSUR,991.1505737304688,3.0591068267822266,324,3.0612175464630127,2257.444546728516
AL QAHIRAH,424.09100341796875,2.9450764656066895,144,2.9463956356048584,965.9096693847657
AL FAYYUM,2.9558792114257812,2.9558792114257812,1,2.9558792114257812,6.73231049194336
