admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
AL BAHR AL AHMAR,864.8666381835938,0.24640075862407684,3510,0.25054502487182617,2651.6811126708985
AL WADI AL JADID,575.1237182617188,0.2538056969642639,2266,0.25641077756881714,1763.3293201904294
ASWAN,260.806884765625,0.2551926374435425,1022,0.25681596994400024,799.6339086914063
JANUB SINA',237.9581756591797,0.24331101775169373,978,0.2448679506778717,729.5797665710448
SUHAJ,145.51014709472656,0.24788782000541687,587,0.24821002781391144,446.13411099243166
AS SUWAYS,41.94565963745117,0.2424604594707489,173,0.2426542043685913,128.6053924484253
AL FAYYUM,23.184253692626953,0.24150264263153076,96,0.24158690869808197,71.08292182159424
AL MINYA,20.527128219604492,0.24437057971954346,84,0.24461418390274048,62.936175121307365
QINA,10.976255416870117,0.2494603544473648,44,0.2502993643283844,33.65319910812378
BANI SUWAYF,7.0898847579956055,0.24447879195213318,29,0.24457593262195587,21.737586668014526
AL JIZAH,6.044219493865967,0.24176877737045288,25,0.24184465408325195,18.53157696819305
SHAMAL SINA',2.417135238647461,0.2417135238647461,10,0.241751030087471,7.410936641693115
