admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
AL WADI AL JADID,5016.7802734375,0.2536289393901825,19780,0.25678008794784546,15381.448318359373
AL BAHR AL AHMAR,2205.672607421875,0.24710649251937866,8926,0.2515668272972107,6762.592214355469
ASWAN,1913.88134765625,0.2545393407344818,7519,0.2565101683139801,5867.960211914063
JANUB SINA',926.5318603515625,0.24331194162368774,3808,0.24457593262195587,2840.7466838378905
AL MINYA,868.112060546875,0.24488352239131927,3545,0.2458249032497406,2661.6315776367187
SUHAJ,776.3299560546875,0.2480287402868271,3130,0.24859167635440826,2380.227645263672
AL JIZAH,438.6759338378906,0.2423623949289322,1810,0.24378348886966705,1344.9804131469728
ASYUT,423.01239013671875,0.2469424307346344,1713,0.24752552807331085,1296.9559881591797
QINA,169.0480194091797,0.24933336675167084,678,0.2507285475730896,518.3012275085449
BANI SUWAYF,165.6871795654297,0.24365761876106262,680,0.2446209341287613,507.9968925476074
AS SUWAYS,116.3524398803711,0.2424009144306183,480,0.24272820353507996,356.7365806732177
MATROUH,91.42900085449219,0.23747792840003967,385,0.2387174814939499,280.3213166198731
AL FAYYUM,89.8612060546875,0.2415623813867569,372,0.24189141392707825,275.5144577636719
AL QAHIRAH,69.42520141601562,0.24105972051620483,288,0.24118681252002716,212.8576675415039
SHAMAL SINA',31.8853702545166,0.2415558397769928,132,0.241751030087471,97.76054520034789
AL UQSUR,1.7509243488311768,0.2501320540904999,7,0.25018438696861267,5.368334053516388
