criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
biomass_resource,-30.0,0.3076,0.2153,0.9997,755.35,True
biomass_resource,-20.0,0.3076,0.2461,0.9999,475.58,True
biomass_resource,-10.0,0.3076,0.2768,1.0,224.83,True
biomass_resource,10.0,0.3076,0.3384,1.0,205.03,True
biomass_resource,20.0,0.3076,0.3691,0.9999,389.75,True
biomass_resource,30.0,0.3076,0.3999,0.9998,559.04,True
lc_biomass,-30.0,0.2255,0.1578,0.9998,274.08,True
lc_biomass,-20.0,0.2255,0.1804,0.9999,188.81,True
lc_biomass,-10.0,0.2255,0.2029,0.9999,97.25,True
lc_biomass,10.0,0.2255,0.248,0.9999,101.93,True
lc_biomass,20.0,0.2255,0.2706,0.9999,212.42,True
lc_biomass,30.0,0.2255,0.2931,0.9998,325.6,True
road_suitability,-30.0,0.1615,0.1131,0.9966,5338.61,True
road_suitability,-20.0,0.1615,0.1292,0.9987,3163.4,True
road_suitability,-10.0,0.1615,0.1454,0.9997,1414.71,True
road_suitability,10.0,0.1615,0.1777,0.9997,1200.73,True
road_suitability,20.0,0.1615,0.1939,0.9992,2140.3,True
road_suitability,30.0,0.1615,0.21,0.9986,2911.08,True
river_biomass,-30.0,0.1111,0.0778,0.9917,10160.57,True
river_biomass,-20.0,0.1111,0.0889,0.9964,6657.7,True
river_biomass,-10.0,0.1111,0.1,0.9991,3242.4,True
river_biomass,10.0,0.1111,0.1222,0.9992,2977.6,True
river_biomass,20.0,0.1111,0.1333,0.9972,5650.98,True
river_biomass,30.0,0.1111,0.1444,0.9943,8031.71,True
grid_suitability,-30.0,0.0792,0.0554,0.9967,4368.04,True
grid_suitability,-20.0,0.0792,0.0634,0.9985,2833.33,True
grid_suitability,-10.0,0.0792,0.0713,0.9996,1407.45,True
grid_suitability,10.0,0.0792,0.0871,0.9997,1301.61,True
grid_suitability,20.0,0.0792,0.095,0.999,2547.31,True
grid_suitability,30.0,0.0792,0.1029,0.9981,3704.9,True
pop_suitability,-30.0,0.0573,0.0401,1.0,85.25,True
pop_suitability,-20.0,0.0573,0.0458,1.0,60.12,True
pop_suitability,-10.0,0.0573,0.0516,1.0,31.74,True
pop_suitability,10.0,0.0573,0.063,1.0,34.39,True
pop_suitability,20.0,0.0573,0.0687,1.0,70.87,True
pop_suitability,30.0,0.0573,0.0745,1.0,110.04,True
terrain_score,-30.0,0.0326,0.0228,0.9937,8469.48,True
terrain_score,-20.0,0.0326,0.0261,0.9971,5651.74,True
terrain_score,-10.0,0.0326,0.0294,0.9993,2785.04,True
terrain_score,10.0,0.0326,0.0359,0.9994,2650.76,True
terrain_score,20.0,0.0326,0.0392,0.9976,5144.55,True
terrain_score,30.0,0.0326,0.0424,0.995,7469.72,True
seismic_suitability,-30.0,0.0252,0.0176,0.999,3298.34,True
seismic_suitability,-20.0,0.0252,0.0201,0.9995,2284.63,True
seismic_suitability,-10.0,0.0252,0.0227,0.9999,1181.14,True
seismic_suitability,10.0,0.0252,0.0277,0.9999,1244.71,True
seismic_suitability,20.0,0.0252,0.0302,0.9994,2536.81,True
seismic_suitability,30.0,0.0252,0.0327,0.9986,3868.63,True
