parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,0.4,0.28,2.818,17.278,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,0.4,0.32,3.22,19.746,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,0.4,0.36,3.623,22.214,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,0.4,0.44,4.428,27.15,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,0.4,0.48,4.83,29.619,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,0.4,0.52,5.233,32.087,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.3,0.21,2.818,17.278,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.3,0.24,3.22,19.746,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.3,0.27,3.623,22.214,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.3,0.33,4.428,27.15,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.3,0.36,4.83,29.619,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.3,0.39,5.233,32.087,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.7,0.49,4.025,17.278,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.7,0.56,4.025,19.746,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.7,0.63,4.025,22.214,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.7,0.77,4.025,27.15,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.7,0.84,4.025,29.619,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.7,0.91,4.025,32.087,0.0,30.0,0.0,1.0
