criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
solar_resource,-30.0,0.3314,0.232,0.9494,29853.56,False
solar_resource,-20.0,0.3314,0.2651,0.9795,18385.54,True
solar_resource,-10.0,0.3314,0.2983,0.9949,8755.04,True
solar_resource,10.0,0.3314,0.3646,0.9937,9499.87,True
solar_resource,20.0,0.3314,0.3977,0.963,24525.61,True
solar_resource,30.0,0.3314,0.4308,0.8939,42442.99,False
grid_suitability,-30.0,0.2385,0.167,0.9251,32407.72,False
grid_suitability,-20.0,0.2385,0.1908,0.9786,15955.06,True
grid_suitability,-10.0,0.2385,0.2147,0.9969,5250.82,True
grid_suitability,10.0,0.2385,0.2624,0.9983,3597.91,True
grid_suitability,20.0,0.2385,0.2862,0.995,6296.69,True
grid_suitability,30.0,0.2385,0.3101,0.9912,8442.34,True
terrain_score,-30.0,0.162,0.1134,0.9991,3906.35,True
terrain_score,-20.0,0.162,0.1296,0.9995,2819.28,True
terrain_score,-10.0,0.162,0.1458,0.9999,1523.21,True
terrain_score,10.0,0.162,0.1782,0.9998,1766.63,True
terrain_score,20.0,0.162,0.1944,0.9991,3793.4,True
terrain_score,30.0,0.162,0.2106,0.9977,6095.4,True
road_suitability,-30.0,0.109,0.0763,0.9946,9463.98,True
road_suitability,-20.0,0.109,0.0872,0.9972,6802.16,True
road_suitability,-10.0,0.109,0.0981,0.9992,3652.15,True
road_suitability,10.0,0.109,0.1199,0.9989,4161.86,True
road_suitability,20.0,0.109,0.1308,0.9953,8805.74,True
road_suitability,30.0,0.109,0.1417,0.9886,13861.85,True
river_solar,-30.0,0.0734,0.0514,0.9997,2634.62,True
river_solar,-20.0,0.0734,0.0587,0.9999,1872.6,True
river_solar,-10.0,0.0734,0.066,1.0,995.6,True
river_solar,10.0,0.0734,0.0807,0.9999,1116.7,True
river_solar,20.0,0.0734,0.088,0.9998,2357.38,True
river_solar,30.0,0.0734,0.0954,0.9994,3726.82,True
seismic_suitability,-30.0,0.0498,0.0349,1.0,276.52,True
seismic_suitability,-20.0,0.0498,0.0399,1.0,196.56,True
seismic_suitability,-10.0,0.0498,0.0448,1.0,104.54,True
seismic_suitability,10.0,0.0498,0.0548,1.0,117.29,True
seismic_suitability,20.0,0.0498,0.0598,1.0,247.46,True
seismic_suitability,30.0,0.0498,0.0648,1.0,391.2,True
pop_suitability,-30.0,0.0359,0.0251,1.0,44.21,True
pop_suitability,-20.0,0.0359,0.0287,1.0,31.4,True
pop_suitability,-10.0,0.0359,0.0323,1.0,16.74,True
pop_suitability,10.0,0.0359,0.0394,1.0,18.66,True
pop_suitability,20.0,0.0359,0.043,1.0,39.13,True
pop_suitability,30.0,0.0359,0.0466,1.0,61.59,True
