threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,819886.9,2254.689,5135.28,741464,
0.35,672241.3,1848.664,4210.516,607246,-2.147
0.4,407429.5,1120.431,2551.894,368548,-4.104
0.45,254226.1,699.122,1592.32,231179,-3.899
0.5,187154.7,514.675,1172.225,171028,-2.624
0.55,156019.8,429.054,977.214,142377,-2.829
0.6,106915.6,294.018,669.655,96885,-4.358
0.65,78356.4,215.48,490.777,70860,-4.682
0.7,50474.7,138.805,316.143,45633,-7.262
0.75,25993.4,71.482,162.807,23568,-11.582
0.8,10333.8,28.418,64.725,9432,
