parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,55.0,38.5,50.037,113.965,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,55.0,44.0,57.186,130.246,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,55.0,49.5,64.334,146.527,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,55.0,60.5,78.63,179.088,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,55.0,66.0,85.778,195.369,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,55.0,71.5,92.927,211.65,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.05,0.035,50.037,113.965,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.05,0.04,57.186,130.246,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.05,0.045,64.334,146.527,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.05,0.055,78.63,179.088,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.05,0.06,85.778,195.369,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.05,0.065,92.927,211.65,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.26,0.182,71.482,113.965,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.26,0.208,71.482,130.246,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.26,0.234,71.482,146.527,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.26,0.286,71.482,179.088,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.26,0.312,71.482,195.369,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.26,0.338,71.482,211.65,0.0,30.0,0.0,1.0
