criterion,perturbation_pct,weight_base,weight_perturbed,spearman_rho,rank_shift_mean,robust
wind_resource,-30.0,0.382,0.2674,0.9549,30946.67,True
wind_resource,-20.0,0.382,0.3056,0.9742,22587.58,True
wind_resource,-10.0,0.382,0.3438,0.9893,13684.78,True
wind_resource,10.0,0.382,0.4202,0.9903,13622.18,True
wind_resource,20.0,0.382,0.4584,0.9632,27429.18,True
wind_resource,30.0,0.382,0.4967,0.9215,40710.55,False
grid_suitability,-30.0,0.248,0.1736,0.9389,34409.76,False
grid_suitability,-20.0,0.248,0.1984,0.9744,21654.36,True
grid_suitability,-10.0,0.248,0.2232,0.9938,10164.85,True
grid_suitability,10.0,0.248,0.2728,0.9935,9626.39,True
grid_suitability,20.0,0.248,0.2976,0.9846,15146.14,True
grid_suitability,30.0,0.248,0.3224,0.9767,18801.61,True
terrain_score,-30.0,0.1582,0.1107,0.9997,2477.85,True
terrain_score,-20.0,0.1582,0.1265,0.9998,1770.35,True
terrain_score,-10.0,0.1582,0.1423,1.0,946.3,True
terrain_score,10.0,0.1582,0.174,0.9999,1071.04,True
terrain_score,20.0,0.1582,0.1898,0.9997,2271.62,True
terrain_score,30.0,0.1582,0.2056,0.9993,3605.31,True
road_suitability,-30.0,0.0983,0.0688,0.9986,5570.93,True
road_suitability,-20.0,0.0983,0.0786,0.9993,3963.96,True
road_suitability,-10.0,0.0983,0.0884,0.9998,2108.64,True
road_suitability,10.0,0.0983,0.1081,0.9997,2354.4,True
road_suitability,20.0,0.0983,0.1179,0.9989,4958.9,True
road_suitability,30.0,0.0983,0.1277,0.9972,7811.23,True
pop_suitability,-30.0,0.0614,0.0429,1.0,95.38,True
pop_suitability,-20.0,0.0614,0.0491,1.0,68.01,True
pop_suitability,-10.0,0.0614,0.0552,1.0,36.41,True
pop_suitability,10.0,0.0614,0.0675,1.0,40.98,True
pop_suitability,20.0,0.0614,0.0736,1.0,86.24,True
pop_suitability,30.0,0.0614,0.0798,1.0,136.34,True
seismic_suitability,-30.0,0.0314,0.022,1.0,86.7,True
seismic_suitability,-20.0,0.0314,0.0251,1.0,61.52,True
seismic_suitability,-10.0,0.0314,0.0283,1.0,32.73,True
seismic_suitability,10.0,0.0314,0.0345,1.0,36.44,True
seismic_suitability,20.0,0.0314,0.0377,1.0,76.4,True
seismic_suitability,30.0,0.0314,0.0408,1.0,120.19,True
river_wind,-30.0,0.0208,0.0145,1.0,137.43,True
river_wind,-20.0,0.0208,0.0166,1.0,97.23,True
river_wind,-10.0,0.0208,0.0187,1.0,51.43,True
river_wind,10.0,0.0208,0.0229,1.0,57.13,True
river_wind,20.0,0.0208,0.0249,1.0,119.95,True
river_wind,30.0,0.0208,0.027,1.0,188.56,True
