threshold,area_apt_km2,potential_gw,generation_twh,n_pixels,elasticity
0.3,631164.0,142.012,435.408,572403,
0.35,495586.4,111.507,341.88,448887,-1.737
0.4,385148.9,86.658,265.695,348184,-1.947
0.45,308162.0,69.336,212.586,278729,-2.676
0.5,201873.6,45.422,139.263,182357,-4.967
0.55,107637.2,24.218,74.254,97459,-6.219
0.6,80169.5,18.038,55.305,72378,-3.63
0.65,59130.8,13.304,40.791,53253,-4.191
0.7,42042.8,9.46,29.003,37814,-5.258
0.75,27549.1,6.199,19.005,24790,-6.874
0.8,16793.6,3.779,11.585,15146,
