parameter,perturbation_pct,base_value,perturbed_value,potential_gw,generation_twh,delta_gw_pct,delta_twh_pct,elasticity_gw,elasticity_twh
power_density_mw_km2,-30.0,7.5,5.25,4.339,13.303,-30.0,-30.0,1.0,1.0
power_density_mw_km2,-20.0,7.5,6.0,4.959,15.204,-20.0,-20.0,1.0,1.0
power_density_mw_km2,-10.0,7.5,6.75,5.579,17.104,-10.0,-10.0,1.0,1.0
power_density_mw_km2,10.0,7.5,8.25,6.818,20.905,10.0,10.0,1.0,1.0
power_density_mw_km2,20.0,7.5,9.0,7.438,22.806,20.0,20.0,1.0,1.0
power_density_mw_km2,30.0,7.5,9.75,8.058,24.706,30.0,30.0,1.0,1.0
land_use_factor,-30.0,0.03,0.021,4.339,13.303,-30.0,-30.0,1.0,1.0
land_use_factor,-20.0,0.03,0.024,4.959,15.204,-20.0,-20.0,1.0,1.0
land_use_factor,-10.0,0.03,0.027,5.579,17.104,-10.0,-10.0,1.0,1.0
land_use_factor,10.0,0.03,0.033,6.818,20.905,10.0,10.0,1.0,1.0
land_use_factor,20.0,0.03,0.036,7.438,22.806,20.0,20.0,1.0,1.0
land_use_factor,30.0,0.03,0.039,8.058,24.706,30.0,30.0,1.0,1.0
capacity_factor,-30.0,0.35,0.245,6.199,13.303,0.0,-30.0,-0.0,1.0
capacity_factor,-20.0,0.35,0.28,6.199,15.204,0.0,-20.0,-0.0,1.0
capacity_factor,-10.0,0.35,0.315,6.199,17.104,0.0,-10.0,-0.0,1.0
capacity_factor,10.0,0.35,0.385,6.199,20.905,0.0,10.0,0.0,1.0
capacity_factor,20.0,0.35,0.42,6.199,22.806,0.0,20.0,0.0,1.0
capacity_factor,30.0,0.35,0.455,6.199,24.706,0.0,30.0,0.0,1.0
