year,country_code,scenario,total_fleet_all_cats,stock_bev_all,stock_hev_all,stock_phev_all,stock_ice_all,stock_fcev_all,ev_electricity_demand_twh,re_needed_total_gw,re_needed_solar_gw,re_needed_wind_gw,re_cumulative_solar_gw,re_cumulative_wind_gw,re_delta_solar_gw,re_delta_wind_gw,re_avail_solar_gw,re_avail_wind_gw,re_avail_biomass_gw,re_sufficiency_solar_pct,re_sufficiency_wind_pct,co2_total_mtco2eq,co2_ice_mtco2eq,co2_hev_mtco2eq,co2_phev_mtco2eq,co2_bev_indirect_mtco2eq,co2_baseline_mtco2eq,co2_avoided_mtco2eq,grid_intensity_gco2_kwh,annual_capex_bn_usd,fuel_savings_bn_usd,net_annual_cost_bn_usd,abatement_cost_usd_tco2,cumulative_capex_bn_usd,cumulative_savings_bn_usd,lcoe_solar_usd_mwh,lcoe_wind_usd_mwh,cost_method
2025,EGY,reference,7380000,504000,1008000,432000,5184000,72000,1.4415,0.651,0.486,0.165,0.486,0.165,0.4862,0.1646,71.48,6.2,4.03,100,100,17.9653,15.2584,1.8234,0.2939,0.5895,37.2112,19.2459,436.0,0.076,0.033,0.043,2.22,0.08,0.03,55.0,48.0,lcoe
2026,EGY,reference,7564500,515664,1013616,436656,5172960,73104,1.4738,0.665,0.497,0.168,0.497,0.168,0.0111,0.0032,71.48,6.2,4.03,100,100,17.9432,15.2259,1.8336,0.2961,0.5877,38.1415,20.1983,424.8,0.077,0.034,0.044,2.16,0.15,0.07,55.0,48.0,lcoe
2027,EGY,reference,7753612,538777,1024712,445872,5150848,75291,1.5377,0.694,0.519,0.176,0.519,0.176,0.0216,0.0075,71.48,6.2,4.03,100,100,17.9136,15.1608,1.8536,0.3013,0.5978,39.095,21.1814,413.6,0.081,0.035,0.046,2.15,0.23,0.1,55.0,48.0,lcoe
2028,EGY,reference,7947453,573158,1041171,459568,5117603,78542,1.6327,0.737,0.551,0.186,0.551,0.186,0.0317,0.0104,71.48,6.2,4.03,100,100,17.8746,15.0629,1.8834,0.3095,0.6187,40.0724,22.1978,402.4,0.086,0.037,0.048,2.18,0.32,0.14,55.0,48.0,lcoe
2029,EGY,reference,8146139,618660,1062890,477674,5073134,82843,1.7586,0.794,0.593,0.201,0.593,0.201,0.0421,0.0147,71.48,6.2,4.03,100,100,17.8246,14.9321,1.9227,0.3206,0.6493,41.0742,23.2496,391.2,0.092,0.04,0.052,2.24,0.41,0.18,55.0,48.0,lcoe
2030,EGY,reference,8349793,675170,1089785,500137,5017325,88181,1.9148,0.864,0.646,0.219,0.646,0.219,0.0528,0.0176,71.48,6.2,4.03,100,100,17.762,14.7678,1.9714,0.3345,0.6883,42.1011,24.3391,380.0,0.101,0.044,0.057,2.33,0.51,0.22,55.0,48.0,lcoe
2031,EGY,reference,8558537,743716,1119557,524686,4953370,94549,2.1038,0.95,0.71,0.24,0.71,0.24,0.0636,0.0212,71.48,6.2,4.03,100,100,17.676,14.5796,2.0252,0.349,0.7223,43.1536,25.4776,362.0,0.111,0.048,0.062,2.45,0.62,0.27,55.0,48.0,lcoe
2032,EGY,reference,8772501,824224,1152186,551329,4881042,101939,2.3253,1.05,0.784,0.265,0.784,0.265,0.0743,0.0254,71.48,6.2,4.03,100,100,17.5762,14.3667,2.0842,0.3646,0.7606,44.2324,26.6562,344.0,0.122,0.053,0.069,2.58,0.75,0.33,55.0,48.0,lcoe
2033,EGY,reference,8991813,916654,1187662,580075,4800100,110349,2.5792,1.164,0.87,0.294,0.87,0.294,0.0859,0.0294,71.48,6.2,4.03,100,100,17.46,14.1284,2.1484,0.3815,0.8017,45.3382,27.8782,326.0,0.136,0.059,0.076,2.74,0.88,0.38,55.0,48.0,lcoe
2034,EGY,reference,9216609,1020993,1225978,610940,4710284,119777,2.8655,1.294,0.966,0.327,0.966,0.327,0.0965,0.0331,71.48,6.2,4.03,100,100,17.3249,13.8641,2.2177,0.3995,0.8436,46.4717,29.1468,308.0,0.151,0.066,0.085,2.91,1.03,0.45,55.0,48.0,lcoe
2035,EGY,reference,9447024,1137259,1267134,643943,4611319,130225,3.1842,1.437,1.074,0.363,1.074,0.363,0.108,0.0365,71.48,6.2,4.03,100,100,17.1684,13.5728,2.2922,0.4187,0.8848,47.6335,30.4651,290.0,0.167,0.073,0.094,3.1,1.2,0.52,55.0,48.0,lcoe
2036,EGY,reference,9683200,1269276,1306099,676590,4505434,142957,3.5452,1.6,1.196,0.405,1.196,0.405,0.1217,0.0417,71.48,6.2,4.03,100,100,16.9874,13.2611,2.3627,0.4374,0.9262,48.8243,31.8369,272.0,0.186,0.081,0.105,3.3,1.39,0.6,55.0,48.0,lcoe
2037,EGY,reference,9925280,1417055,1342971,708950,4392280,157957,3.9483,1.782,1.332,0.451,1.332,0.451,0.1357,0.0457,71.48,6.2,4.03,100,100,16.7787,12.9281,2.4294,0.4557,0.9656,50.0449,33.2662,254.0,0.207,0.091,0.117,3.52,1.59,0.69,55.0,48.0,lcoe
2038,EGY,reference,10173412,1580642,1377836,741089,4271500,175217,4.3938,1.984,1.482,0.502,1.482,0.502,0.1499,0.0506,71.48,6.2,4.03,100,100,16.5393,12.5726,2.4924,0.4736,1.0008,51.2961,34.7567,236.0,0.231,0.101,0.13,3.75,1.82,0.8,55.0,48.0,lcoe
2039,EGY,reference,10427747,1760121,1410775,773070,4142725,194735,4.882,2.204,1.647,0.557,1.647,0.557,0.1646,0.0553,71.48,6.2,4.03,100,100,16.2661,12.1935,2.552,0.4911,1.0294,52.5785,36.3124,218.0,0.257,0.112,0.145,3.98,2.08,0.91,55.0,48.0,lcoe
2040,EGY,reference,10688440,1955612,1441856,804954,4005580,216512,5.413,2.444,1.826,0.618,1.826,0.618,0.1787,0.0609,71.48,6.2,4.03,100,100,15.9558,11.7899,2.6082,0.5084,1.0493,53.8929,37.9371,200.0,0.284,0.124,0.16,4.23,2.36,1.03,55.0,48.0,lcoe
2041,EGY,reference,10955651,2167268,1468293,833948,3866803,239131,5.9868,2.703,2.019,0.683,2.019,0.683,0.1932,0.0654,71.48,6.2,4.03,100,100,15.6312,11.3814,2.6561,0.524,1.0698,55.2402,39.609,184.0,0.315,0.137,0.177,4.48,2.68,1.17,55.0,48.0,lcoe
2042,EGY,reference,11229543,2395276,1490189,860153,3725876,262629,6.6039,2.981,2.227,0.754,2.227,0.754,0.2084,0.0709,71.48,6.2,4.03,100,100,15.2794,10.9666,2.6957,0.5376,1.0796,56.6212,41.3419,168.0,0.347,0.151,0.196,4.73,3.03,1.32,55.0,48.0,lcoe
2043,EGY,reference,11510281,2639854,1507630,883662,3582294,287044,7.2649,3.28,2.45,0.829,2.45,0.829,0.2233,0.0753,71.48,6.2,4.03,100,100,14.897,10.544,2.7272,0.5493,1.0765,58.0368,43.1398,152.0,0.382,0.167,0.215,4.99,3.41,1.49,55.0,48.0,lcoe
