admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
SIKKIM,2532.91552734375,57.566261291503906,44,57.5662727355957
DADRA AND NAGAR HAVELI,4029.638671875,57.56626510620117,70,57.5662727355957
RAJASTHAN,4323514.5,57.56626892089844,75105,57.5662727355957
NCT OF DELHI,7771.4462890625,57.56626892089844,135,57.5662727355957
KERALA,3972.072509765625,57.56626892089844,69,57.5662727355957
WEST BENGAL,327494.53125,57.5662727355957,5689,57.5662727355957
CHHATTISGARH,591435.875,57.5662727355957,10274,57.5662727355957
HARYANA,656025.25,57.5662727355957,11396,57.5662727355957
UTTARAKHAND,66258.78125,57.5662727355957,1151,57.5662727355957
DAMAN AND DIU,115.1325454711914,57.5662727355957,2,57.5662727355957
ASSAM,1038898.5625,57.56627655029297,18047,57.5662727355957
NAGALAND,45707.625,57.56627655029297,794,57.5662727355957
ODISHA,1340891.25,57.56627655029297,23293,57.5662727355957
UTTAR PRADESH,7146335.0,57.56627655029297,124141,57.5662727355957
BIHAR,2031398.75,57.56627655029297,35288,57.5662727355957
TELANGANA,2683049.0,57.56627655029297,46608,57.5662727355957
GUJARAT,52788.27734375,57.56627655029297,917,57.5662727355957
ARUNACHAL PRADESH,32064.41796875,57.566280364990234,557,57.5662727355957
MADHYA PRADESH,1225931.5,57.566280364990234,21296,57.5662727355957
JHARKHAND,81628.984375,57.566280364990234,1418,57.5662727355957
ANDHRA PRADESH,1267609.5,57.566280364990234,22020,57.5662727355957
MAHARASHTRA,5241122.0,57.566280364990234,91045,57.5662727355957
TAMIL NADU,924111.5,57.566280364990234,16053,57.5662727355957
MANIPUR,98956.4375,57.566280364990234,1719,57.5662727355957
MIZORAM,30510.12890625,57.566280364990234,530,57.5662727355957
GOA,9325.7373046875,57.566280364990234,162,57.5662727355957
KARNATAKA,3065347.0,57.5662841796875,53249,57.5662727355957
MEGHALAYA,78232.578125,57.5662841796875,1359,57.5662727355957
PUDUCHERRY,5871.76123046875,57.566287994384766,102,57.5662727355957
