admin_name,lcoe_sum,lcoe_mean,lcoe_count,lcoe_p90
PUDUCHERRY,11768.3671875,65.37981414794922,180,69.37127685546875
HARYANA,1065063.875,66.41705322265625,16036,74.26834106445312
UTTAR PRADESH,7835232.0,66.65276336669922,117553,73.4615249633789
NCT OF DELHI,35594.0078125,66.9060287475586,532,70.3561019897461
RAJASTHAN,7316965.0,68.02176666259766,107568,75.9701156616211
TELANGANA,3356762.5,68.1617660522461,49247,74.73453521728516
TAMIL NADU,2619084.25,68.28533935546875,38355,76.64193725585938
ANDHRA PRADESH,994769.5,68.31739044189453,14561,75.79977416992188
UTTARAKHAND,87467.1875,68.81761169433594,1271,75.39117431640625
ASSAM,105047.703125,69.20138549804688,1518,75.69770812988281
KARNATAKA,2090521.625,69.30978393554688,30162,76.01104736328125
MAHARASHTRA,6982440.0,69.38794708251953,100629,76.37046813964844
MADHYA PRADESH,1502296.0,69.40293884277344,21646,77.04922485351562
BIHAR,919968.9375,69.40542602539062,13255,76.88880157470703
DAMAN AND DIU,978.9352416992188,69.92394256591797,14,74.38990020751953
ODISHA,876781.9375,71.46319580078125,12269,78.41165924072266
GOA,2727.96044921875,71.7884292602539,38,77.26072692871094
MANIPUR,66035.4375,71.85575103759766,919,77.50302124023438
JHARKHAND,141526.609375,72.35511779785156,1956,78.75125885009766
CHHATTISGARH,580857.1875,73.13739776611328,7942,78.57225799560547
MEGHALAYA,19192.83203125,74.39082336425781,258,77.9991683959961
KERALA,9648.146484375,75.37614440917969,128,78.75639343261719
MIZORAM,539.812744140625,77.11610412597656,7,78.64274597167969
PUNJAB,34511.65625,78.08067321777344,442,78.27932739257812
GUJARAT,2027661.5,78.12520599365234,25954,78.70843505859375
WEST BENGAL,384292.125,78.15581512451172,4917,78.74988555908203
TRIPURA,1259.7069091796875,78.73168182373047,16,78.81871032714844
