admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
UTTAR PRADESH,20491.578125,0.16506697237491608,124141,0.1671116203069687,125654.3570625
MAHARASHTRA,15886.591796875,0.17449164390563965,91045,0.17607037723064423,97416.5808984375
RAJASTHAN,12391.94140625,0.16499489545822144,75105,0.16716593503952026,75987.384703125
KARNATAKA,9472.2158203125,0.17788532376289368,53249,0.17970584332942963,58083.62741015625
TELANGANA,8204.634765625,0.17603489756584167,46608,0.1770695149898529,50310.82038281249
BIHAR,5886.36083984375,0.16680914163589478,35288,0.16779793798923492,36095.164669921876
ODISHA,4053.6943359375,0.1740305870771408,23293,0.17505419254302979,24857.253667968747
ANDHRA PRADESH,3899.24951171875,0.17707763612270355,22020,0.17875850200653076,23910.198005859376
MADHYA PRADESH,3556.72509765625,0.1670137643814087,21296,0.16791769862174988,21809.838298828126
ASSAM,2990.236328125,0.16569159924983978,18047,0.16657792031764984,18336.1291640625
TAMIL NADU,2909.12646484375,0.18122011423110962,16053,0.1820363849401474,17838.763482421877
HARYANA,1853.3831787109375,0.16263453662395477,11396,0.16343913972377777,11364.945651855469
CHHATTISGARH,1789.050048828125,0.17413374781608582,10274,0.17522574961185455,10970.454899414062
WEST BENGAL,946.9346923828125,0.1664501130580902,5689,0.16743624210357666,5806.6035336914065
MANIPUR,288.7731628417969,0.16798904538154602,1719,0.16858848929405212,1770.7570345458985
JHARKHAND,237.88653564453125,0.16776201128959656,1418,0.16797077655792236,1458.7202365722653
MEGHALAYA,226.85455322265625,0.16692756116390228,1359,0.1673283576965332,1391.0721203613282
UTTARAKHAND,186.4619140625,0.1619999259710312,1151,0.16220244765281677,1143.38445703125
GUJARAT,158.81520080566406,0.17318996787071228,917,0.17344200611114502,973.854811340332
NAGALAND,132.091796875,0.166362464427948,794,0.16696186363697052,809.9868984375
ARUNACHAL PRADESH,91.3216781616211,0.16395273804664612,557,0.16468586027622223,559.9845304870604
MIZORAM,90.05237579345703,0.16991014778614044,530,0.17097187042236328,552.2011683654785
GOA,28.863176345825195,0.17816776037216187,162,0.1784435659646988,176.98899735260008
NCT OF DELHI,21.925243377685547,0.1624092161655426,135,0.16268901526927948,134.44559239196778
PUDUCHERRY,18.472787857055664,0.18110576272010803,102,0.18139474093914032,113.27513513946532
KERALA,12.446895599365234,0.18038979172706604,69,0.1805441975593567,76.32436381530762
DADRA AND NAGAR HAVELI,12.146942138671875,0.17352774739265442,70,0.17364995181560516,74.48504919433593
SIKKIM,7.239703178405762,0.16453871130943298,44,0.16473497450351715,44.39385988998413
DAMAN AND DIU,0.3467196822166443,0.17335984110832214,2,0.17336422204971313,2.1260850913524627
