admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
UTTAR PRADESH,24874.828125,0.16508489847183228,150679,0.16716864705085754,152532.44606249998
MAHARASHTRA,22666.16796875,0.17451085150241852,129884,0.17621371150016785,138988.941984375
RAJASTHAN,17802.46875,0.16510367393493652,107826,0.16739581525325775,109164.738375
KARNATAKA,14278.7578125,0.17813265323638916,80158,0.1799369603395462,87557.34290625
TELANGANA,10700.93359375,0.1760166734457016,60795,0.17710287868976593,65618.124796875
BIHAR,8538.30859375,0.16675406694412231,51203,0.16783790290355682,52356.908296875
ODISHA,6954.49169921875,0.17369727790355682,40038,0.17500343918800354,42644.943099609365
ANDHRA PRADESH,6062.48876953125,0.1773279756307602,34188,0.17898741364479065,37175.181134765626
MADHYA PRADESH,5682.37939453125,0.16730594635009766,33964,0.16811636090278625,34844.35044726563
TAMIL NADU,5069.70166015625,0.18124201893806458,27972,0.18212081491947174,31087.410580078125
GUJARAT,4294.0341796875,0.17086602747440338,25131,0.17260712385177612,26331.017589843745
ASSAM,3896.6962890625,0.1656688153743744,23521,0.16652274131774902,23894.54164453125
CHHATTISGARH,3652.767333984375,0.17350341379642487,21053,0.17518551647663116,22398.769291992186
WEST BENGAL,3344.6767578125,0.16868452727794647,19828,0.1712464541196823,20509.55787890625
HARYANA,2773.53955078125,0.1623471975326538,17084,0.1633944809436798,17007.344525390625
JHARKHAND,1275.8516845703125,0.16927845776081085,7537,0.17091034352779388,7823.522529785156
MEGHALAYA,477.45135498046875,0.1669994294643402,2859,0.16731755435466766,2927.7317087402344
MANIPUR,433.372314453125,0.16803888976573944,2579,0.1686665415763855,2657.439032226562
PUNJAB,329.2727966308594,0.1598411649465561,2060,0.16042809188365936,2019.1007889404295
UTTARAKHAND,265.34002685546875,0.1618914157152176,1639,0.16218715906143188,1627.0650446777342
NAGALAND,171.03353881835938,0.1663750410079956,1028,0.16692091524600983,1048.7776600341797
KERALA,167.64971923828125,0.1814390867948532,924,0.18209825456142426,1028.0280783691405
ARUNACHAL PRADESH,136.24322509765625,0.16395093500614166,831,0.16464246809482574,835.443456298828
TRIPURA,127.67786407470703,0.1693340390920639,754,0.16995276510715485,782.9206625061036
MIZORAM,126.40557861328125,0.16989997029304504,744,0.17091034352779388,775.1190080566405
GOA,52.38192367553711,0.17816980183124542,294,0.17842473089694977,321.2059559783935
NCT OF DELHI,39.46596145629883,0.16241136193275452,243,0.16268901526927948,242.0052756500244
DADRA AND NAGAR HAVELI,27.423856735229492,0.1735687106847763,158,0.17367053031921387,168.16308950042722
PUDUCHERRY,25.896991729736328,0.1810978502035141,143,0.18139474093914032,158.80035328674313
HIMACHAL PRADESH,20.672454833984375,0.15780499577522278,131,0.15929089486598969,126.76349304199218
SIKKIM,14.633554458618164,0.1644219607114792,89,0.16470320522785187,89.73295594024657
DAMAN AND DIU,0.3467196822166443,0.17335984110832214,2,0.17336422204971313,2.1260850913524627
