admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
RAJASTHAN,357838.0625,2.4854869842529297,143971,2.518765449523926,626932.2855
GUJARAT,285452.96875,2.559060573577881,111546,2.5831127166748047,500113.60125
MAHARASHTRA,183868.609375,2.6162667274475098,70279,2.6403350830078125,322137.803625
TELANGANA,78125.21875,2.641417980194092,29577,2.657083034515381,136875.38325
KARNATAKA,57318.5703125,2.6682138442993164,21482,2.700545310974121,100422.13518750001
MADHYA PRADESH,40891.765625,2.519361972808838,16231,2.550039529800415,71642.373375
TAMIL NADU,22927.36328125,2.7229647636413574,8420,2.736302375793457,40168.74046875
CHHATTISGARH,8492.81640625,2.5900628566741943,3279,2.621370315551758,14879.41434375
ODISHA,3346.93359375,2.6188838481903076,1278,2.624746561050415,5863.82765625
UTTAR PRADESH,2964.6220703125,2.5166571140289307,1178,2.5205554962158203,5194.0178671875
PUDUCHERRY,347.70831298828125,2.7164711952209473,128,2.7210991382598877,609.1849643554688
JHARKHAND,328.5877685546875,2.547192096710205,129,2.5498526096343994,575.6857705078127
UTTARAKHAND,273.446044921875,2.4198765754699707,113,2.4258477687835693,479.077470703125
HARYANA,120.25577545166016,2.4541995525360107,49,2.456035852432251,210.68811859130858
ANDHRA PRADESH,115.74066162109375,2.691643238067627,43,2.6921284198760986,202.77763916015624
DAMAN AND DIU,38.99281692504883,2.5995211601257324,15,2.6004798412323,68.31541525268554
