admin_name,capacity_mw_sum,capacity_mw_mean,capacity_mw_count,capacity_mw_p90,generation_gwh
UTTAR PRADESH,23295.28125,0.1981683224439621,117553,0.20066417753696442,48975.999299999996
RAJASTHAN,21320.1484375,0.19820158183574677,107568,0.20102033019065857,44823.48007499999
MAHARASHTRA,21084.888671875,0.20953093469142914,100629,0.2115134745836258,44328.86994375
TELANGANA,10406.9873046875,0.21132226288318634,49247,0.21240416169166565,21879.650109374998
TAMIL NADU,8348.93359375,0.21767523884773254,38355,0.2187243551015854,17552.797987500002
KARNATAKA,6421.17529296875,0.21288956701755524,30162,0.21576917171478271,13499.8789359375
GUJARAT,5316.009765625,0.204824298620224,25954,0.20666281878948212,11176.378931250001
MADHYA PRADESH,4338.6513671875,0.20043663680553436,21646,0.20159675180912018,9121.580634375001
HARYANA,3128.647216796875,0.19510146975517273,16036,0.19612696766853333,6577.667908593749
ANDHRA PRADESH,3087.227294921875,0.21202027797698975,14561,0.21273837983608246,6490.58666484375
BIHAR,2661.8330078125,0.20081727206707,13255,0.201612651348114,5596.2377156249995
ODISHA,2558.00732421875,0.20849354565143585,12269,0.21011362969875336,5377.9545984375
CHHATTISGARH,1652.198486328125,0.20803305506706238,7942,0.2098941206932068,3473.58209765625
WEST BENGAL,1002.5667724609375,0.20389805734157562,4917,0.20539537072181702,2107.796382421875
JHARKHAND,394.70440673828125,0.20179161429405212,1956,0.20286482572555542,829.8265447265625
ASSAM,305.5871276855469,0.20130904018878937,1518,0.20200815796852112,642.4663772460937
UTTARAKHAND,247.03440856933594,0.19436223804950714,1271,0.19462458789348602,519.3651405761718
MANIPUR,185.44070434570312,0.20178531110286713,919,0.2021966427564621,389.87053681640623
NCT OF DELHI,103.72749328613281,0.19497649371623993,532,0.1953338086605072,218.07668188476563
PUNJAB,84.79380798339844,0.19184119999408722,442,0.19245664775371552,178.27050190429688
MEGHALAYA,51.730735778808594,0.20050673186779022,258,0.2007616013288498,108.75869890136718
PUDUCHERRY,39.1153678894043,0.21730759739875793,180,0.2176879197359085,82.23614945068358
KERALA,27.838117599487305,0.21748529374599457,128,0.21867111325263977,58.526858441162105
GOA,8.115228652954102,0.2135586440563202,38,0.21359598636627197,17.061456719970703
TRIPURA,3.2521400451660156,0.20325875282287598,16,0.2037855088710785,6.837299230957031
DAMAN AND DIU,2.911851406097412,0.2079893797636032,14,0.20803837478160858,6.121876396179199
MIZORAM,1.4163130521774292,0.20233044028282166,7,0.20254923403263092,2.977656560897827
